com.4paradigm.openmldb	openmldb-native	0.2.0-pre		4511bc24b34b14ca8bf4734775bed2457cf04c6a
com.4paradigm.openmldb	openmldb-native	0.2.0-pre-1		066782dfe0ea9d5c06883a07d87c34bf635a0884
com.4paradigm.openmldb	openmldb-native	0.2.0-pre-1-macos		21b026c2b0693ae7401d10d624aaf437e0ed04fd
com.4paradigm.openmldb	openmldb-native	0.2.0-pre-2-macos		5fd528d337dd981923cf1cc6eb1ea606d49413bd
com.4paradigm.openmldb	openmldb-native	0.2.0-pre-macos		2e41f720fbb02fe7f79c22bc374abadfa3605264
com.4paradigm.openmldb	openmldb-native	0.2.2		05dc9eb9cbf9874b2f4483415bba881a43606060
com.4paradigm.openmldb	openmldb-native	0.2.2-macos		595b6065bc169a2562e8fe73ef89c4fb5b79ea3b
com.4paradigm.openmldb	openmldb-native	0.2.3		278b090ad8e8f7c2ec6fdba47e982d1c8469f6af
com.4paradigm.openmldb	openmldb-native	0.2.3-macos		95ead16cebf32b70d7af212d216a22bd81bb59b6
com.4paradigm.openmldb	openmldb-native	0.3.0		f111ba3d5416203574dcf8b5cbd70ee29cf11b81
com.4paradigm.openmldb	openmldb-native	0.3.0-macos		40020ca4091214e418602de63abff61839b79cdd
com.4paradigm.openmldb	openmldb-native	0.3.1		b5dec4699c33af2477b31703e97cc4c39bf9d2f2
com.4paradigm.openmldb	openmldb-native	0.3.1-allinone		e480c02e1aab966d27c7af6c6a137eb1c03fc062
com.4paradigm.openmldb	openmldb-native	0.3.1-macos		5462651b5e9c1b0c0513aef54bdddb0568775b51
com.4paradigm.openmldb	openmldb-native	0.3.2		b44919bec2bf4bde3a46f5a5da07ac8741505d6e
com.4paradigm.openmldb	openmldb-native	0.3.2-macos		35df259a9614ff924ce7e870ba83ffbee293a8d4
com.4paradigm.openmldb	openmldb-native	0.4.0		22372654a174048450f25cd7d23032fa1f6aa8f1
com.4paradigm.openmldb	openmldb-native	0.4.0-allinone		00c9cbd16f82161d53e9df0c3eb543839e5cdf6c
com.4paradigm.openmldb	openmldb-native	0.4.0-macos		f421e334781e91b02e78e22935de731bd7e58810
com.4paradigm.openmldb	openmldb-native	0.4.1		c5d370976cdb33f476df5b2929cdf33bce9f5224
com.4paradigm.openmldb	openmldb-native	0.4.1-allinone		d24c18fbc5e15d0b7118b14c6d7aa9e89d39570e
com.4paradigm.openmldb	openmldb-native	0.4.1-macos		28907bb79460bd3152c128ab5234c2a0fd3d778a
com.4paradigm.openmldb	openmldb-native	0.4.2		230b65199307d33758dce7e34576b7fa9db32e3d
com.4paradigm.openmldb	openmldb-native	0.4.2-allinone		22d0bf01d82ac984920781fe70d10b53e54fa680
com.4paradigm.openmldb	openmldb-native	0.4.2-macos		7e825814e8ee5218d40ae02549b494002ee54b29
com.4paradigm.openmldb	openmldb-native	0.4.3		3902ca9bb6952c9bbb8e5a3be72cccf6259944c8
com.4paradigm.openmldb	openmldb-native	0.4.3-allinone		10327e382363ff7be2be3e946f90ee1196b25111
com.4paradigm.openmldb	openmldb-native	0.4.3-macos		75fd2f1bd1c09d2898809906f054fe638eed8e55
com.4paradigm.openmldb	openmldb-native	0.4.4		9ce77f79ceea8dac34e641de1b968d0d9174239e
com.4paradigm.openmldb	openmldb-native	0.4.4-allinone		0df72c8bf86439e4ea426844e620ccd77548f5e3
com.4paradigm.openmldb	openmldb-native	0.4.4-hotfix1		0e8ae88210441512c73aa18cdf2b6f6e08da22bb
com.4paradigm.openmldb	openmldb-native	0.4.4-hotfix1-allinone		2d48fd3b3593dd83f6e63f862fe8b89d52281c6c
com.4paradigm.openmldb	openmldb-native	0.4.4-hotfix1-macos		09b2e65d3bcc62093737ae4fd69084ea0b8072bb
com.4paradigm.openmldb	openmldb-native	0.4.4-macos		79e3ac45ef201ef2de590535234b4341fa4116ff
com.4paradigm.openmldb	openmldb-native	0.5.0		597e2983b8ac1018670eeb2b5b8e52794fbe4213
com.4paradigm.openmldb	openmldb-native	0.5.0-allinone		fa1512370d222d627866cac97468bdecaa5ba9e7
com.4paradigm.openmldb	openmldb-native	0.5.0-macos		89ed7b33ef18900f82ec8587d49a69b473a0fb54
com.4paradigm.openmldb	openmldb-native	0.5.1		6ff583942385d686ef229cb0d0fef52d1af27713
com.4paradigm.openmldb	openmldb-native	0.5.1-allinone		308ff62c745ebd2fdae3edc665a511ead8de1774
com.4paradigm.openmldb	openmldb-native	0.5.1-macos		fc2d1e527fb61b39cd02f194d672846ca1cb24ae
com.4paradigm.openmldb	openmldb-native	0.5.2		7abe57c812f50ef38eab34f7becbab32dc592c7c
com.4paradigm.openmldb	openmldb-native	0.5.2-allinone		60f317edf3d3141e6bf37be73fc20bf70b8c0929
com.4paradigm.openmldb	openmldb-native	0.5.2-macos		9c6ce225b4675642db714e45fda06d49d50972d0
com.4paradigm.openmldb	openmldb-native	0.5.3		6af080da985ee33c5de52ad115fb812312e66bea
com.4paradigm.openmldb	openmldb-native	0.5.3-allinone		46dad09875c9632cebeca23b5cde09e953b00b15
com.4paradigm.openmldb	openmldb-native	0.5.3-macos		85193a573aa9339ee193a43e13a9599f61e393af
com.4paradigm.openmldb	openmldb-native	0.6.0		e8af8c19ef1a4c723a6d659a0b90080babd2cceb
com.4paradigm.openmldb	openmldb-native	0.6.0-allinone		a88a1a1cd58b9a9f5f09e7d596bdc087910c5d7a
com.4paradigm.openmldb	openmldb-native	0.6.0-macos		5ca4d181d08227190c7b38d7344c2b3af2b30b67
com.4paradigm.openmldb	openmldb-native	0.6.1		31fe2a51bf70f0c9dbef72a53ee6afc45daf36b3
com.4paradigm.openmldb	openmldb-native	0.6.1-allinone		5eaad22ae887e39df0d235ebd244a75df8252816
com.4paradigm.openmldb	openmldb-native	0.6.1-macos		434bcc82c23b06bd607c3f422d042d9f90d30e60
com.4paradigm.openmldb	openmldb-native	0.6.2		6fc575a9824877d394ea882bd452d885e6efe404
com.4paradigm.openmldb	openmldb-native	0.6.2-allinone		6ae686d7ce8dafc5c0b27e58f2f95546c0143231
com.4paradigm.openmldb	openmldb-native	0.6.2-macos		193eafdcbd259e2d262d83679d313aa9be928d3f
com.4paradigm.openmldb	openmldb-native	0.6.3		e3377b92c40f12bb53e1a72987e312ca6394d8a5
com.4paradigm.openmldb	openmldb-native	0.6.3-allinone		064623bbd61104fa301703e3277423018a0545f4
com.4paradigm.openmldb	openmldb-native	0.6.3-macos		0d7b03aaec9db902dcbb89446e2a2dfe05fec6be
com.4paradigm.openmldb	openmldb-native	0.6.4		b609fe5b0d33c9fe27bddcdf4aea64cf9c231bcb
com.4paradigm.openmldb	openmldb-native	0.6.4-allinone		1fe8a328ecac74ee777d61220f4de57eda373f15
com.4paradigm.openmldb	openmldb-native	0.6.4-macos		7e7d1657397b147a93b80575b20a8887232ef09b
com.4paradigm.openmldb	openmldb-native	0.6.5		74eef99a5ce3473205f375b9aee3e2972bf61303
com.4paradigm.openmldb	openmldb-native	0.6.5-allinone		f2a755b58c34a1aebe6a0957694fd146073e3de1
com.4paradigm.openmldb	openmldb-native	0.6.5-macos		37fe0f61233d5f5ae5b33ea732df645cdc4f7f5b
com.4paradigm.openmldb	openmldb-native	0.6.6		e8eed83f1cc671c7d5bdf70b3118ed3fa96e94bf
com.4paradigm.openmldb	openmldb-native	0.6.6-allinone		c51dd26622e62ccb2b498afb6fc3a4966a12a8bf
com.4paradigm.openmldb	openmldb-native	0.6.6-macos		082b2a7b9b86023870e8d1752b29ec16194da020
com.4paradigm.openmldb	openmldb-native	0.6.7		1f661dec8f9951ec325ef707c08eb7c4cec52381
com.4paradigm.openmldb	openmldb-native	0.6.7-allinone		f02a64221944923a704c28dcae5c1cf8c9500e9e
com.4paradigm.openmldb	openmldb-native	0.6.7-macos		3a30c3bd74b0710d27d1dd5a699e21e5a47d0a39
com.4paradigm.openmldb	openmldb-native	0.6.8		8d4f0f4202af1361a55c410d1aece4df2de03d58
com.4paradigm.openmldb	openmldb-native	0.6.8-allinone		db68425b2e0f67342a9ef2fa0a179cfbdde992fb
com.4paradigm.openmldb	openmldb-native	0.6.8-macos		737716bed38b4048ef068a9cc54757f50ad844d9
com.4paradigm.openmldb	openmldb-native	0.6.9		f4e7266c0f1f24587886fc54607fd5805afa481a
com.4paradigm.openmldb	openmldb-native	0.6.9-allinone		8ab148f4dbe0ed357e4c8312e476d52d2f677de6
com.4paradigm.openmldb	openmldb-native	0.6.9-macos		044362d9a6e524549b3b0030222e9daa9d55d642
com.4paradigm.openmldb	openmldb-native	0.7.0		54fd30954592bb3e42748a0f1e8ae720875b1987
com.4paradigm.openmldb	openmldb-native	0.7.0-allinone		3c4001f4dd96255598ee770ae348310962378448
com.4paradigm.openmldb	openmldb-native	0.7.0-macos		326c380bc1ee6b687beeccfdef6b479fd8097fad
com.4paradigm.openmldb	openmldb-native	0.7.1		2bcbd9ed9482e5885133de546384ce4520b140de
com.4paradigm.openmldb	openmldb-native	0.7.1-allinone		31efd1e13aa95c29a287e2eb1ba5114de9463181
com.4paradigm.openmldb	openmldb-native	0.7.1-macos		5ae7850bd48f40e0491cc7f31dd27b9c72f61b2b
com.4paradigm.openmldb	openmldb-native	0.7.2		888a50c7fec8b4413652ef66c8ac776dfb4209ca
com.4paradigm.openmldb	openmldb-native	0.7.2-allinone		eee975685443e969fb6a675f58818c96a39783d3
com.4paradigm.openmldb	openmldb-native	0.7.2-macos		568bf9a30f4b44647f6bf800c8ef28fe77af014c
com.4paradigm.openmldb	openmldb-native	0.7.3		eb19395b820b610cd7887b90d7f62ab51004dc65
com.4paradigm.openmldb	openmldb-native	0.7.3-allinone		e99cf8cc34fd5384d53817271e7518e6b075a06f
