br.gov.frameworkdemoiselle.component.archetypes	jbehave-assertj-archetype	1.6.0-BETA2		133292412bc5f8de775565f417c658dd7b808ba2
com.sap.cloud.sdk.services	blockchain-client-fabric	3.24.0		bdddc6fb5be9f0e88d84d905dfa6b817146bc865
com.sap.cloud.sdk.services	blockchain-client-fabric	3.25.0		d899dd0dbb1b7fde2d4c6686469d7b779ffa5ebc
com.sap.cloud.sdk.services	blockchain-client-fabric	3.26.0		33df9a2cf4f6476a9dcd1accfcbd75a70eeb7a80
com.sap.cloud.sdk.services	blockchain-client-fabric	3.27.0		a781ae02a9bab093bf0b300d7d80faf311bc3a45
com.sap.cloud.sdk.services	blockchain-client-fabric	3.28.1		2edb19caf197bc1ff23d338f4dc37bf12d896f47
com.sap.cloud.sdk.services	blockchain-client-fabric	3.29.1		33a763fca6c5c9bf84cefad84d655cd4bf5ae4e2
com.sap.cloud.sdk.services	blockchain-client-fabric	3.30.0		0e9908f1cf17f6b7603a65df8f8d8cf0ad88a79c
com.sap.cloud.sdk.services	blockchain-client-fabric	3.31.0		fd78af258b582474d0d288ebcca9a3b6ed078730
com.sap.cloud.sdk.services	blockchain-client-fabric	3.32.0		1a5fae8fa8ea3b6138a164b1efbc59d711084fb6
com.sap.cloud.sdk.services	blockchain-client-fabric	3.33.0		6653d97083845be51d7a8a2383dcacd94994f58a
com.sap.cloud.sdk.services	blockchain-client-fabric	3.34.0		65b8be3d17ae5141e4a69b6bc0a90b160693cfc6
com.sap.cloud.sdk.services	blockchain-client-fabric	3.34.1		771e67b75003ac8f3b99b4cbeb724d42b4a2ea9e
com.sap.cloud.sdk.services	blockchain-client-fabric	3.35.0		4c5a7544995aee6ee785e9956d0591c2bba06f76
com.sap.cloud.sdk.services	blockchain-client-fabric	3.36.0		410fb470770df8c2e51df3b044d5ef27f9adb470
com.sap.cloud.sdk.services	blockchain-client-fabric	3.37.0		b20dd5da10dbc241c67277597a1775aaeda67bef
com.sap.cloud.sdk.services	blockchain-client-fabric	3.38.0		0bb41e853c8b39ad57a070bfaf83f476ac4db5b3
com.sap.cloud.sdk.services	blockchain-client-fabric	3.39.0		036ba694815b7207d0b5a6de366b78c3e9be1276
com.sap.cloud.sdk.services	blockchain-client-fabric	3.40.0		9dd1957f54b74a008b75714290d8a13e47b0ba15
com.sap.cloud.sdk.services	blockchain-client-fabric	3.41.0		447b905fbc8a4410f351a4d9f39d376505a65b78
com.sap.cloud.sdk.services	blockchain-client-fabric	3.42.0		c6f77c696cfb0805fdca858261a59613cbcb457d
com.sap.cloud.sdk.services	blockchain-client-fabric	3.43.0		cbbe76723f146fea8973b15dbb00450bac3ea38d
com.sap.cloud.sdk.services	blockchain-client-fabric	3.44.1		f7ee4999516e3f35a926b916c1a0b1dacb9058b8
com.sap.cloud.sdk.services	blockchain-client-fabric	3.45.0		d966606b916922a3f1d1ab3cb117bf767326afe1
com.sap.cloud.sdk.services	blockchain-client-fabric	3.46.0		f8de0a8bbb7ec91a1ee0cef7e96b87ca887cb066
com.sap.cloud.sdk.services	blockchain-client-fabric	3.47.0		5f827d7f834e8f621c244b822c053efb2b7d5c49
com.sap.cloud.sdk.services	blockchain-client-fabric	3.48.0		1d6e4d81515219778daa3ae689023be8de605ba2
com.sap.cloud.sdk.services	blockchain-client-fabric	3.49.0		e742cb8f0eb748faa9a44dcebc50c05641c0f2f8
com.sap.cloud.sdk.services	blockchain-client-fabric	3.50.0		a5df275a95686b8c3cf416974284aedbdae02298
com.sap.cloud.sdk.services	blockchain-client-fabric	3.51.0		09b49682ea5dc0320e144e2485a55ef6f457fad7
com.sap.cloud.sdk.services	blockchain-client-fabric	3.52.0		b4209395be21136837ed06a127ea0a3d18025fd6
com.sap.cloud.sdk.services	blockchain-client-fabric	3.53.0		72d08b7cd22826fc80f727cfec65cc087af7d494
com.sap.cloud.sdk.services	blockchain-client-fabric	3.54.0		af7a17a646e9de18ed26cdb83b1f705293b7c2e0
com.sap.cloud.sdk.services	blockchain-client-fabric	3.55.1		1ada8772387d8e1234af5707ece6747767c93d39
com.sap.cloud.sdk.services	blockchain-client-fabric	3.56.0		6b197efb47d810b3d6c28568c9a0a342f4d2a5c5
com.sap.cloud.sdk.services	blockchain-client-fabric	3.57.0		3e4135e4f2ebb8775035cbd9e15fdf05e43cc993
com.sap.cloud.sdk.services	blockchain-client-fabric	3.58.0		95a50b444558b6648cb55883471ff2285c480587
com.sap.cloud.sdk.services	blockchain-client-fabric	3.59.0		f54caa5dd0da22a8047a4730a1aeb99f5b6da559
com.sap.cloud.sdk.services	blockchain-client-fabric	3.60.0		a77e619a754e340d5e6622808ba98585fa3e0f5b
com.sap.cloud.sdk.services	blockchain-client-fabric	3.61.0		c69ee627ff9369b188ad199757a09d250b868a93
com.sap.cloud.sdk.services	blockchain-client-fabric	3.62.0		1baf140f894a2f717777ef77dd49ef986a42025a
com.sap.cloud.sdk.services	blockchain-client-fabric	3.63.0		508cbdd8c81b05cc3b1a0d7763ee782c2b5ac718
com.sap.cloud.sdk.services	blockchain-client-fabric	3.64.0		3890775284430ac1f63024fdd7743c5d38a4d77e
com.sap.cloud.sdk.services	blockchain-client-fabric	3.65.0		ae5f867b10534aea933109de0af4070976f578b1
com.sap.cloud.sdk.services	blockchain-client-fabric	3.66.0		ca53ee401e07e98f4c8821d306606b2f7f77a400
com.sap.cloud.sdk.services	blockchain-client-fabric	3.67.0		fc5897099286dfa0ecfe785c47ac02fc301d579f
com.sap.cloud.sdk.services	blockchain-client-fabric	3.68.0		665d46511a8e45dfdad885b8bb0855409aea003f
com.sap.cloud.sdk.services	blockchain-client-fabric	3.69.0		345badb1a40b9d93ee14fffb61916c8de6392a81
com.sap.cloud.sdk.services	blockchain-client-fabric	3.70.0		947054fbb5d30299e92ed918efce6f0d9b96af63
com.sap.cloud.sdk.services	blockchain-client-fabric	3.71.0		53ecab0a33c1994cd0ed3628d5b5b5a85dc06970
com.sap.cloud.sdk.services	blockchain-client-fabric	3.72.0		ec3b12a6a4e6db30b4cc6f51fdad05650f3fd6dd
com.sap.cloud.sdk.services	blockchain-client-fabric	3.73.0		ad6ce5054a89d9b93da82f4332e78583cd16cd95
com.sap.cloud.sdk.services	blockchain-client-fabric	3.74.0		2bad5f642b8b130c7579f4b195d8d1a374c87819
com.sap.cloud.sdk.services	blockchain-client-fabric	3.75.0		8933429676f8385b8773d862c4d90f9d345886e7
com.sap.cloud.sdk.services	blockchain-client-fabric	3.76.0		2a69b9a3fdb729848880b276c87c101c162eb432
com.sap.cloud.sdk.services	blockchain-client-fabric	3.77.0		c5b24c29b4ed7f41732e57221c572aa4daeebb21
com.sap.cloud.sdk.services	blockchain-client-fabric	3.78.0		6152746ab540bcdccf4ed08b289639364dc9d373
com.sap.cloud.sdk.services	blockchain-client-fabric	4.0.0		27cade5ddb4a4d6c9eea1a033985eb518ecabc08
com.sap.cloud.sdk.services	blockchain-client-fabric	4.1.0		3884606f8845428a56b2326d078eca5a516cca63
com.sap.cloud.sdk.services	blockchain-client-fabric	4.10.0		343fe3420e02efbc4c54a034fa4aebe1b6272ede
com.sap.cloud.sdk.services	blockchain-client-fabric	4.11.0		5618e5cb8418e913847de4f6c28d6bfae2a0ab77
com.sap.cloud.sdk.services	blockchain-client-fabric	4.12.0		21e56523a46c1244599831d432755146a5795cf3
com.sap.cloud.sdk.services	blockchain-client-fabric	4.13.0		0e4b1204c4db0567c6aa98af30f0048f960932df
com.sap.cloud.sdk.services	blockchain-client-fabric	4.14.0		17915b1d8a94ce36e4fcc8047f5a722ac4e57e04
