com.adyen.checkout	dotpay-base	3.8.3		N/A
com.guicedee.services	zstd-jni	1.2.0.0-jre16		394af4400c52e7b3a0e71309bb9c0bd10320f4e3
com.guicedee.services	zstd-jni	1.2.0.1-jre11		b8125cdaaaacf548ce4d2952b5649b3eaf9a0850
com.guicedee.services	zstd-jni	1.2.0.1-jre15		2f60e69cbd0f98557963bc494845ed5b9552515b
com.guicedee.services	zstd-jni	1.2.0.1-jre16		43cf07c44997f43cf167daf2d0a06dd20cc5b77c
com.guicedee.services	zstd-jni	1.2.0.2-jre16		91f0eb4c531555d23bf69952f4b1a52df494f02f
com.guicedee.services	zstd-jni	1.2.0.3-jre17-rc1		3708e9ac87d0f7c5dacf8ae7d8091b48607388fc
com.guicedee.services	zstd-jni	1.2.1.1-jre17		4e60c27e59efd552f66c6e908d965079ebdaabe3
com.guicedee.services	zstd-jni	1.2.1.2-jre17		6215d4b7d1fd4e6b00cb774cffb00c0c70eab7ec
com.guicedee.services	zstd-jni	1.2.2.1		38a730b7f557d985cb948a1207b0b8e1032ec7cd
com.guicedee.services	zstd-jni	1.2.2.1-jre17		6dc9d351e4afdd236d5287a23333df0e4074aa31
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.1		790ea7b8e31b50102fcfd833fc1abe4fb736c6fa
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.10		bf57325671326f222ac2607372dc1674f5c25c9b
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.11		dc8dc606c5883c7301d6dc3921bd95b4e69b40af
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.12		9d0f1f0644d63340a46e729c24145a02a4879392
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.13		70e13dd1ea43f3e72610a0ab12eb588b62dbd803
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.14		91f7f7359d39e6457f1501bbff0bb596ede7bde4
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.15		e775470bf07420d1750c2d718548dbca88247eba
com.holdenkarau	spark-scalafix-rules-2.4.8_2.12	0.1.2		b8ee88810b457d6eac28a7f419c1b1251e515193
