com.frostwire	jlibtorrent-linux	1.2.0.15	-	e14b77b31796a89f038ec00d0cddcd002b02b8d0
com.frostwire	jlibtorrent-linux	1.2.0.15-RC1	-	bcc5e3cbe8e2c5944a044309dae0aa8ec05206b6
com.frostwire	jlibtorrent-linux	1.2.0.15-RC2	-	e7712b6018e0645615bd723064b64de53e44c634
com.frostwire	jlibtorrent-linux	1.2.0.15-RC3	-	c4018ffea74d9ddacb454f4a6c2d3024b4e7c43d
com.frostwire	jlibtorrent-linux	1.2.0.16	-	4395fb78aa26fef7e10dc6a3a201bc48cad2b03e
com.frostwire	jlibtorrent-linux	1.2.0.16-RC1	-	d32b68930f3d5df3bdd78c3c28775186f613fef5
com.frostwire	jlibtorrent-linux	1.2.0.16-RC2	-	90b7a26313edd0d593c830d091947ffd51345a8b
com.frostwire	jlibtorrent-linux	1.2.0.16-RC3	-	9f56dd1b335b26fab0522136ef1759cdbce19ea2
com.frostwire	jlibtorrent-linux	1.2.0.17	-	a0d2d5d75badaeaba49855b0382dade562ea1780
com.frostwire	jlibtorrent-linux	1.2.0.17-RC1	-	128f18b5eb448bc0bf803c14c9533b482637b00e
com.frostwire	jlibtorrent-linux	1.2.0.17-RC2	-	c672524d1f912652ca02a84acbe3a513b3a49b43
com.frostwire	jlibtorrent-linux	1.2.0.18	-	df94ca6d943e13cf72688c04c7db0c4505b9746f
com.frostwire	jlibtorrent-linux	1.2.0.18-RC1	-	251985807f59513a0ac0c092fcfca2c3f7a9a390
com.frostwire	jlibtorrent-linux	1.2.0.18-RC10	-	a9e03206788dfbbcd49fcd7fb488bb7a954e8d77
com.frostwire	jlibtorrent-linux	1.2.0.18-RC11	-	be2639f8dc93e35b7d8c4450ba24190d0044f79f
com.frostwire	jlibtorrent-linux	1.2.0.18-RC12	-	d44b55f2c73a6b73a17a07d8ae555adc08003218
com.frostwire	jlibtorrent-linux	1.2.0.18-RC2	-	73324e8a8aa4f446b16c84fd22340efb2a62b421
com.frostwire	jlibtorrent-linux	1.2.0.18-RC3	-	be476e019337465e85fe81e86df93ca9993e1c76
com.frostwire	jlibtorrent-linux	1.2.0.18-RC4	-	17da6105e887467270694f5c27eabc11f38b47a4
com.frostwire	jlibtorrent-linux	1.2.0.18-RC5	-	6826e16c31b0491ca7d1920f5ed5d7b315eefe53
com.frostwire	jlibtorrent-linux	1.2.0.18-RC6	-	652b26d7bac41d683449e17abd14d7f2da51fb5b
com.frostwire	jlibtorrent-linux	1.2.0.18-RC7	-	d461550940c54faa16b1dbff562dae403e4b5d94
com.frostwire	jlibtorrent-linux	1.2.0.18-RC8	-	b18e7b83d3b28f36aee3c1799a522e659d27e6c7
com.frostwire	jlibtorrent-linux	1.2.0.18-RC9	-	e52ca300e44e131e4f84c14e61869ea3e128d358
com.frostwire	jlibtorrent-linux	1.2.0.2	-	0d3ecb6b02f89b062ab1c761dc41798af11e66cd
com.frostwire	jlibtorrent-linux	1.2.0.3	-	d3ef0878cac8feda159b36e507f5691a4a0bd0cd
com.frostwire	jlibtorrent-linux	1.2.0.4	-	9a0ad2870578297222ed4ae7a0dd456068a6b0b1
com.frostwire	jlibtorrent-linux	1.2.0.5	-	f5e604d6a5bad125dad1a70cc25426a9c1348bf5
com.frostwire	jlibtorrent-linux	1.2.0.5-RC1	-	356bfb67d58880f7fb166693c942418f57f93159
com.frostwire	jlibtorrent-linux	1.2.0.6	-	76f63cfb2d77fd4078f97a2a7f5e4783f47b038f
com.frostwire	jlibtorrent-linux	1.2.0.6-RC1	-	5fb213137944b0c563b6a51b14fb57388a767d2a
com.frostwire	jlibtorrent-linux	1.2.0.6-RC2	-	8eaed934b278ed029fa6678f11691eea2af85550
com.frostwire	jlibtorrent-linux	1.2.0.6-RC3	-	141685791d5bc305657c86bc92b6f589d1a1255d
com.frostwire	jlibtorrent-linux	1.2.0.6-RC4	-	84310a4a4090fe4cd90705f8c5b5fb07e51bf92c
com.frostwire	jlibtorrent-linux	1.2.0.6-beta1	-	744f78b36e970db69f072173bf59395e2b5a7fe0
com.frostwire	jlibtorrent-linux	1.2.0.6-beta2	-	3f3f1adccdb50f5638387b801e1b8441e8de80f6
com.frostwire	jlibtorrent-linux	1.2.0.6-beta3	-	ff019cb09a08899113285a1330ca59d8bde13de2
com.frostwire	jlibtorrent-linux	1.2.0.6-beta4	-	e345788ff10f3049051320c5f8fc512069e75125
com.frostwire	jlibtorrent-linux	1.2.0.7	-	0de7c95a6bd96dd7a59471aaec359d20c30f751b
com.frostwire	jlibtorrent-linux	1.2.0.7-RC1	-	c0be20cb49803503b862ae4c9e5fa89ee769d8c2
com.frostwire	jlibtorrent-linux	1.2.0.7-RC2	-	ffe802be4fc82313dc2e3a41c90c4e1bac380bba
com.frostwire	jlibtorrent-linux	1.2.0.7-RC3	-	89ad46d92afc16bbd6d993d181b586e13c5f93ff
com.frostwire	jlibtorrent-linux	1.2.0.8	-	b23db6795435f1e982cafc5ef2f585fcc16c81e6
com.frostwire	jlibtorrent-linux	1.2.0.9	-	d5690d7909c7a86308f898013919565186ee01e9
com.frostwire	jlibtorrent-linux	1.2.0.9-RC1	-	dca88420cf34851483b2cf5c0e962616c899b1f9
com.frostwire	jlibtorrent-linux	1.2.0.9-RC2	-	501efe6d4bd97872aaceffcd088fddf5f18c618e
com.frostwire	jlibtorrent-linux	1.2.0.9-RC3	-	2acd9989de187c5ba734eb5eed7176df2b26279e
com.frostwire	jlibtorrent-linux	1.2.0.9-RC4	-	203dd5fa993c236dab646ba8c86791d2c522a795
com.frostwire	jlibtorrent-linux	1.2.0.9-RC5	-	c5a06885fd94945192a7e3225969cb69c32f4696
com.gitee.linxiaozhun	api-base	1.0.0-RELEASE	-	1844e2968886b93df43c1b1d9d54eb3322d11fb4
com.gitee.linxiaozhun	api-base	1.0.1-RELEASE	-	0c097d4b338ec2407d99d6c8e2d325ab22996b5f
com.gitee.linxiaozhun	api-base	1.0.2-RELEASE	-	9c1147d160a93f4631236f58f827ca6f73c9c05e
com.gitee.linxiaozhun	api-base	1.0.3-RELEASE	-	6789a6f8983c7dd8c2c842e85d64f1b5d1fdfbe0
com.github.adedayo.eclipse.sdk	org.eclipse.pde.ds.tests	1.1.0	-	f78d7454882bf7b1f64b212bad338b7a9f589b80
com.github.dmytromitin	shapeless_2.10	2.4.0-SNAPSHOT-18022020-bf55524-PATCH	-	b052cb1a722cb325acb0eb7252ed8dbdb953ef58
com.github.gitqiao	lanxiao-redis	0.0.1	-	b1b20ce394ae7f794ad14363ae494ece52dd0559
com.github.gitqiao	lanxiao-redis	0.0.2	-	01cfd390d9c9dbd7527114a1520be7635c5c6fa4
com.github.moxy-community	moxy-android	1.0.13	-	2bffc236dc52a89d77a2c1d836e920d82f068cdf
com.github.omarmiatello.telegram	dataclass-only	5.1	-	25d73c8f73efa7d3a199976385b44891088c19cc
com.github.omarmiatello.telegram	dataclass-only	5.2	-	0f780a63231de11ec0a13113eb75046a095f9a76
com.github.omarmiatello.telegram	dataclass-only	5.2	5.2-all	5b6f06a35c732c0a75798b1d54d20e93a6f2ce0d
com.github.omarmiatello.telegram	dataclass-only	5.2.1	-	d3c105beebb0b72c52b1af37813a1b915670ff0d
com.github.omarmiatello.telegram	dataclass-only	5.2.1	5.2.1-all	4a20944a4c55d7f31310ca1147077cd604969373
com.github.omarmiatello.telegram	dataclass-only	5.3	-	8b8a393c6d30b99d0dcc4305c695d41945f143a5
