be.atbash.ee.security.octopus.opinionated	jsf	0.6		N/A
dev.zio	zio-aws-kinesisanalytics_3	5.17.124.3		8f6e7ae5e9ac5e2b2b6bd422e11aec1a4459ac31
dev.zio	zio-aws-kinesisanalytics_3	5.17.125.1		fe094520e2cb92da20e16c16ee4ef0b7c009e3d3
dev.zio	zio-aws-kinesisanalytics_3	5.17.126.1		c76558355f980315d65b9f1eb7ab8e774b902cdf
dev.zio	zio-aws-kinesisanalytics_3	5.17.126.2		bcc27d8416572aa9448708cbf8b77e9be1ae282c
dev.zio	zio-aws-kinesisanalytics_3	5.17.127.1		919a2f01067e5b877f3c2a746d767e398035c200
dev.zio	zio-aws-kinesisanalytics_3	5.17.127.2		54c9f8db7f100d6e8cc7b1a6a9d0aaf6b00af319
dev.zio	zio-aws-kinesisanalytics_3	5.17.128.1		e0d4f5178e04f7ec4c894055baebd2296ea9d5d4
dev.zio	zio-aws-kinesisanalytics_3	5.17.129.1		939aedaa48d5ae2c84a190347c536d00bbde17e4
dev.zio	zio-aws-kinesisanalytics_3	5.17.129.2		70ea90d9346068cc9fe8c71ffac878731f21666a
dev.zio	zio-aws-kinesisanalytics_3	5.17.129.3		d21f0a352f799c467c28ac3ebab77e950fc5d74d
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.1		bb8b404ed044738312b1ec354be2a707d0bfb3c9
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.2		866ed81eee95e10aea8428800e738466ac996813
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.3		93376854222a0aebfe233d822b96772e7579babf
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.5		0a79346982003a65b02a00ae5a1bcd29782d6f8c
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.6		113f7498f72ecdf2b227956cf3a9fb1059df5c3f
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.7		d0a713968d4203ef8598c55ee62315f0c8fb11d7
dev.zio	zio-aws-kinesisanalytics_3	5.17.130.8		cfbce388821ab69776f877862e341d463d83e907
dev.zio	zio-aws-kinesisanalytics_3	5.17.144.1		63faeb613c3766489598f57d30fc67eecb9c2386
dev.zio	zio-aws-kinesisanalytics_3	5.17.145.1		5f550e4d411e0452a12dda018171c9bf786f8865
dev.zio	zio-aws-kinesisanalytics_3	5.17.146.1		43da1e8d989fadc55b6a0af1883f4dc593ddfaec
dev.zio	zio-aws-kinesisanalytics_3	5.17.146.2		f7c231f5a27ab61738fec5a04936f4c29879ecc2
dev.zio	zio-aws-kinesisanalytics_3	5.17.147.1		b0075170007efc184d0262ce832f7008b0a687ed
dev.zio	zio-aws-kinesisanalytics_3	5.17.148.1		de1d239918cdf20b891146230427a35d66c93d47
dev.zio	zio-aws-kinesisanalytics_3	5.17.149.1		5286349d4ec3991869114f892bf509b645c58ceb
dev.zio	zio-aws-kinesisanalytics_3	5.17.150.1		5a947b0236dc67003e61979889ea76459e15ea83
dev.zio	zio-aws-kinesisanalytics_3	5.17.151.1		e4aa98c36859f8a38c5da11dd58145827c2a116d
dev.zio	zio-aws-kinesisanalytics_3	5.17.151.2		0f912eecd034a9197780a596f92bdc80571f0dd5
dev.zio	zio-aws-kinesisanalytics_3	5.17.152.1		82def1790e1b1ec61cba70e3e5653eac537de7cd
dev.zio	zio-aws-kinesisanalytics_3	5.17.153.1		f876364ea8656e4ac224cf0fb3099df42b8f2c1b
dev.zio	zio-aws-kinesisanalytics_3	5.17.153.2		c950dedc93ab09250309200f6e6498ba07741500
dev.zio	zio-aws-kinesisanalytics_3	5.17.153.3		8ffc4b216e128d9011ff1da32548c084da79244e
dev.zio	zio-aws-kinesisanalytics_3	5.17.154.1		e18be49022ff8d2ec375f7ddb8279b041d8cc583
dev.zio	zio-aws-kinesisanalytics_3	5.17.155.1		bf4c442cdc9b046f520d6b6282ed056953c7b9d1
dev.zio	zio-aws-kinesisanalytics_3	5.17.155.2		a0749262ebf68fb3bdc7f55ac16615c3cdce7104
dev.zio	zio-aws-kinesisanalytics_3	5.17.157.1		6bb91b85c95eb71bd6b6fc1d7ddbd6fe1157bf11
dev.zio	zio-aws-kinesisanalytics_3	5.17.157.2		2548ae5cc1e231a8ed478bd6c27ac5c61f489d77
dev.zio	zio-aws-kinesisanalytics_3	5.17.158.1		39187c39c80a5a430b54619caf0371b045dc2678
dev.zio	zio-aws-kinesisanalytics_3	5.17.158.2		5913a827d6040b8318f6a281e88c78ddbfd1abb2
dev.zio	zio-aws-kinesisanalytics_3	5.17.158.3		1cb1eed78be0c8ede9906d3e63ad9a7701e13c73
dev.zio	zio-aws-kinesisanalytics_3	5.17.158.4		0a14d4cbe632bc26db88e4609175558d57da7b04
dev.zio	zio-aws-kinesisanalytics_3	5.17.160.1		c08fba01b737cb08080f2e79a81eb51aca448b4f
dev.zio	zio-aws-kinesisanalytics_3	5.17.161.1		e41a38f71e8c730afcd033a2c2043c1af1bd51bc
dev.zio	zio-aws-kinesisanalytics_3	5.17.161.2		6d0fb6913b68a9faf59c395ba0fea93d273929d3
dev.zio	zio-aws-kinesisanalytics_3	5.17.162.1		afcf5f701a9b1160f1906258f48bade40f53729e
dev.zio	zio-aws-kinesisanalytics_3	5.17.162.2		3f173af06fea5b6b17872eaba816c59fe897271c
dev.zio	zio-aws-kinesisanalytics_3	5.17.162.3		b93500d0fa4bc954c183272113a9df87394bc7ca
dev.zio	zio-aws-kinesisanalytics_3	5.17.163.1		6264d196ebf70f09bfb04eb8b8bcf5b2bd9bf3b3
dev.zio	zio-aws-kinesisanalytics_3	5.17.164.1		10fd3a76580a422aadcc3a87922b2c1a73698cd4
dev.zio	zio-aws-kinesisanalytics_3	5.17.166.1		662c5c27ff2bfd23a10d10b944e73f0f6893da50
dev.zio	zio-aws-kinesisanalytics_3	5.17.166.2		622fee79ed87636681aa8f60f0aa3a7fcc3f1260
dev.zio	zio-aws-kinesisanalytics_3	5.17.166.3		aee7e40d805c371de24420748b5f816e83c5b42a
dev.zio	zio-aws-kinesisanalytics_3	5.17.167.1		89fcc03f54d178948b5f709f6a935308d4537da4
dev.zio	zio-aws-kinesisanalytics_3	5.17.168.1		adb8a86a46b1a3a4975a880c41508ffb36fa7b08
dev.zio	zio-aws-kinesisanalytics_3	5.17.169.1		15e5ed3aa7521f2f2505fe3384b9eda1c6a5268a
dev.zio	zio-aws-kinesisanalytics_3	5.17.170.1		5723b51b3b4ac930f0fc2ba253d8ed151573147f
dev.zio	zio-aws-kinesisanalytics_3	5.17.171.1		59345200580a94e2f201de0bff819bc0610e6e2b
dev.zio	zio-aws-kinesisanalytics_3	5.17.172.1		cb7cfa7f98e6695235811175385e9e81570368d8
dev.zio	zio-aws-kinesisanalytics_3	5.17.172.2		1bc5a40effe21d77458926a68f3ee40d6559602e
dev.zio	zio-aws-kinesisanalytics_3	5.17.174.1		1fc953846820145c855429c6066a7fe4c9b28740
dev.zio	zio-aws-kinesisanalytics_3	5.17.175.1		8639885f9ab2344b503db79e80dcf82daae3447a
dev.zio	zio-aws-kinesisanalytics_3	5.17.176.1		f27263b43b9df33f44f6b824b0e9acd4ad8b888a
dev.zio	zio-aws-kinesisanalytics_3	5.17.176.2		61d479754ec30516b86041d06f6f9af85fafbe19
dev.zio	zio-aws-kinesisanalytics_3	5.17.177.1		93616f11d003aa126a14eccc5959e93634ab9ed2
dev.zio	zio-aws-kinesisanalytics_3	5.17.178.1		086d0f120fc5ffd757412ea2afdeabf536e40897
dev.zio	zio-aws-kinesisanalytics_3	5.17.181.1		96e73c95b4adefff8e6903b195668a1c5e64bd7e
dev.zio	zio-aws-kinesisanalytics_3	5.17.182.1		93f891c701a769cc6be505c2e23c2c8792eeb951
dev.zio	zio-aws-kinesisanalytics_3	5.17.183.1		8882dbf7ad66f20ed21d565ebd0cde957753f206
dev.zio	zio-aws-kinesisanalytics_3	5.17.184.1		654c58ba7cd8bdd458269438606d0716e0b9603e
dev.zio	zio-aws-kinesisanalytics_3	5.17.186.1		1be5b9c904f4036413122132755fb9263daa5be2
dev.zio	zio-aws-kinesisanalytics_3	5.17.187.1		7338c8cc968844f8639dc49fafb4704dd70c537f
dev.zio	zio-aws-kinesisanalytics_3	5.17.188.1		6b80d15b9e074fb9f2d7ff629a09b896ce432985
dev.zio	zio-aws-kinesisanalytics_3	5.17.190.1		91e2f5ead035b3a040bfb5d077007d8ba7c0296c
dev.zio	zio-aws-kinesisanalytics_3	5.17.190.2		28d70f8dfec6774c63095dd9192776ba5420361b
dev.zio	zio-aws-kinesisanalytics_3	5.17.191.2		609feace09a6f7e5c619246e34ba595bf41231db
dev.zio	zio-aws-kinesisanalytics_3	5.17.193.1		a8a915f032410a53098bd8d326a0c9e73f29cc87
dev.zio	zio-aws-kinesisanalytics_3	5.17.193.2		c5ad3c1f8d1c748bb0aeb2a471359c4d47a2bbad
dev.zio	zio-aws-kinesisanalytics_3	5.17.194.1		5734d16ede8ba377b21e5d0447cde9a815f9fcad
dev.zio	zio-aws-kinesisanalytics_3	5.17.195.1		245991e0802af004af7f47e56e62cab6607e9a7b
dev.zio	zio-aws-kinesisanalytics_3	5.17.195.2		814742d89cc0f2c35b84424aea82b2b35d2b011a
dev.zio	zio-aws-kinesisanalytics_3	5.17.195.3		4831a6806ed599b2a32c57978bf4010ea0c61bb3
dev.zio	zio-aws-kinesisanalytics_3	5.17.196.1		8c9e7aa83cef30b5c6033723756c6dbbf97d3171
dev.zio	zio-aws-kinesisanalytics_3	5.17.197.1		8dcba22af32f300ab9ad858354559075de32aab2
dev.zio	zio-aws-kinesisanalytics_3	5.17.197.2		d88e4fdd84efc538cf3bd54054cc4557be562757
dev.zio	zio-aws-kinesisanalytics_3	5.17.201.1		51b4a60b7802609a4b5f518ff8656e465843b73d
dev.zio	zio-aws-kinesisanalytics_3	5.17.201.2		a4afe54bd35b70056c109af728293aa12c6e18a9
dev.zio	zio-aws-kinesisanalytics_3	5.17.202.1		04479b485f0cc92ee690abacc99da028464bd71f
dev.zio	zio-aws-kinesisanalytics_3	5.17.203.1		bf778c6b0028adc1110ab09a7b31c97bff6870d9
dev.zio	zio-aws-kinesisanalytics_3	5.17.203.2		2bbd2c15ede4a99244866a85daf7adb18533b234
dev.zio	zio-aws-kinesisanalytics_3	5.17.204.1		8ee74141ed151de6389cfb40a977d928e86eda16
dev.zio	zio-aws-kinesisanalytics_3	5.17.205.1		92fc8642d7e7822f9a3cb68e4f8faca3c95e4c1d
dev.zio	zio-aws-kinesisanalytics_3	5.17.206.1		acb43db61fccee9e9c23dc56e7495890ef90967c
dev.zio	zio-aws-kinesisanalytics_3	5.17.207.1		630532b7a69a52dcc34c8085525af400e1c06e68
dev.zio	zio-aws-kinesisanalytics_3	5.17.208.1		6733b123060813c0248a8550771dcafc9431efdb
dev.zio	zio-aws-kinesisanalytics_3	5.17.208.2		f817e91a2e423520ab225f3da61ecfafa24ec140
dev.zio	zio-aws-kinesisanalytics_3	5.17.209.1		fdeeb7afd04db59276ef56fcb21d5111b2d8cfe2
dev.zio	zio-aws-kinesisanalytics_3	5.17.211.1		f70da16c86fda5b27b2e8c5c6ecef782fb51aefb
dev.zio	zio-aws-kinesisanalytics_3	5.17.212.1		e975cf76b61ca766c32a1dfa65021e5b5e4c44b3
dev.zio	zio-aws-kinesisanalytics_3	5.17.214.1		735928b1ee03d49fe16484ca15e8df92ec9edb30
dev.zio	zio-aws-kinesisanalytics_3	5.17.217.1		01af49593bebc8d244fbde59a1c26d1f2dccd9c3
dev.zio	zio-aws-kinesisanalytics_3	5.17.218.1		95008181d510bf550ce4138b0d565cdeab0fa321
dev.zio	zio-aws-kinesisanalytics_3	5.17.224.2		09a317af2c025b31a849d3c537e9d5d629d06361
dev.zio	zio-aws-kinesisanalytics_3	5.17.224.3		084edda327339a3b89dd13bc25a6a45051693344
dev.zio	zio-aws-kinesisanalytics_3	5.17.224.4		8933136aa3cfe27d7f932b440b852fd64fe2cff1
dev.zio	zio-aws-kinesisanalytics_3	5.17.225.1		5b9a3a565e6baab803d92a228ff2cf4c645a9aef
dev.zio	zio-aws-kinesisanalytics_3	5.17.225.2		ada0da99e89935a4b15e3a95432532ba1474bf04
dev.zio	zio-aws-kinesisanalytics_3	5.17.233.1		c6346131712f74af2ec1e5ddd69d7fcb3e450da6
dev.zio	zio-aws-kinesisanalytics_3	5.17.234.1		75424d87395a72ad47f3993c79041bc0a40d5fb8
dev.zio	zio-aws-kinesisanalytics_3	5.17.239.1		86f451a023731fb556dcf7f5334014071da02226
dev.zio	zio-aws-kinesisanalytics_3	5.17.239.4		55baa897605bca285628ed0e4df2ff1fddc17516
dev.zio	zio-aws-kinesisanalytics_3	5.17.252.1		2dcb743b10fdebe0706e981cc9d2787b5ff9d47f
dev.zio	zio-aws-kinesisanalytics_3	5.17.257.1		ca40252c52b26a427a5c9ef8c7de11e80f1da3fd
dev.zio	zio-aws-kinesisanalytics_3	5.17.265.1		0283d2215ad44114cad011ea512b4875e48c0c4a
dev.zio	zio-aws-kinesisanalytics_3	5.17.267.1		9a2d37cb54d9464b73f2709f17fb2197c5909aa9
dev.zio	zio-aws-kinesisanalytics_3	5.17.267.4		24f290133a8a48d574aab1ee072ab651248358fd
dev.zio	zio-aws-kinesisanalytics_3	5.17.267.6		5451c4063d7057086de96f60f67008cd4851cd32
dev.zio	zio-aws-kinesisanalytics_3	5.17.267.7		4d889cb0d6f80b92c651f8eca695404180c43694
dev.zio	zio-aws-kinesisanalytics_3	5.17.269.1		4653f91835f7730b6421183e0b97408609127bad
dev.zio	zio-aws-kinesisanalytics_3	5.17.271.1		a6d30f663a582b1f190fd6ce58c2918c2b4db8e4
dev.zio	zio-aws-kinesisanalytics_3	5.17.280.1		50576fa366a705c69a3ce54eb84e9e1491ac75f1
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.1		576c0de01829f56ec52d4cc1e4cda1ae35b5844f
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.10		c7772913fb7c082f1959626d0fb11108e08668a6
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.11		6cdc86114b0e9238d7787689097499c8dc158f5e
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.12		4dc8bc6ae9ba2af3f9c8bdc6ae567345a739d63e
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.13		6feaab058853096dd99e1c06a6531221d8990f2b
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.14		bf3470c8de2d27596dd51326a0fe8542a9358ca8
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.15		30295d66402a727e80ae89478c69cb7ced1abe20
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.16		ea2101c7482f5e7eb7965a10ba1fbef3d7451b8d
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.17		caae6cc40738aa998c549a8f67b3cf4f17562182
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.18		ad96aace4603cac27465103cee0c17695ee44ebd
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.19		9c6cfe183b145ca4ecb5db15327821856484127c
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.2		3b76e778912f77fb05017c5198307bcd37a6f2a2
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.20		9c364958081430382e83d3486248e4dd27334ad0
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.22		a6d2de0fe8efdc2e97699647f4b8a0b7ce50d43e
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.3		7566d4bead66112dfb184ee02f34193d433cff05
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.4		e0ed9c7c7719f504e53174c155f81d2782670779
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.5		457554d41aaeb92093de8f04a699ec170d2e9b19
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.6		ca500b0f0f17f16ef838488949a9a59bb8eb9820
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.8		50e448da956264b1a33672ae936eaf384d5757e4
dev.zio	zio-aws-kinesisanalytics_3	5.17.295.9		e9319266122201847bf36269806171d481599443
dev.zio	zio-aws-kinesisanalytics_3	5.19.12.1		684ef1590d267150bdaf371c4126da19854ac00f
dev.zio	zio-aws-kinesisanalytics_3	5.19.17.1		5f275f6137a2c3294249bfba743b07b9690f09d1
dev.zio	zio-aws-kinesisanalytics_3	5.19.17.2		e97b1fc03b45429bdc7f3f10db5a5555cd382145
dev.zio	zio-aws-kinesisanalytics_3	5.19.26.1		0e2df914d21eb1816130c21c2785ff753ca37c58
dev.zio	zio-aws-kinesisanalytics_3	5.19.31.1		ab07351c7f5e67d9de7506a76c1c2d844e02e2d4
dev.zio	zio-aws-kinesisanalytics_3	5.19.31.2		c4e9fb73dd46b1c9b63dd9f8b31bcdaae9f729d8
dev.zio	zio-aws-kinesisanalytics_3	5.19.31.3		81632801d123e65b04952a7e636fdf65df86292c
dev.zio	zio-aws-kinesisanalytics_3	5.19.31.4		3d7238448e47e32313b445f4df3915178f9dd5d5
dev.zio	zio-aws-kinesisanalytics_3	5.19.31.5		4aa2ff5156e0445c81844959ef7bb355429fa3f8
dev.zio	zio-aws-kinesisanalytics_3	5.19.33.1		48f4574bea7385ce2165a64e68dbe40d84d6e863
dev.zio	zio-aws-kinesisanalytics_3	5.19.33.2		687c54642d82f1065983bddec58471c83d06f639
dev.zio	zio-aws-kinesisanalytics_3	5.19.7.1		a8c094a0bee07305d2c37f787326819ba2721338
dev.zio	zio-aws-kinesisanalytics_3	5.19.7.2		9a1570dccdc8e2fbb88379425d8f1bb45be6e346
dev.zio	zio-aws-kinesisanalytics_3	5.19.7.3		440cbdb76e48abee62ff68e8197970f0960be3e8
dev.zio	zio-aws-kinesisanalytics_3	5.19.7.4		8172bf831fe4086f919e64d5bb1247cf85915596
dev.zio	zio-aws-kinesisanalytics_3	5.19.7.5		eaf3e8575ff382a7e2cf3050eac9cae690be416d
dev.zio	zio-aws-kinesisanalytics_3	5.19.7.6		03d8470b0e3edd2caf49fda9d5416d4232e39328
dev.zio	zio-aws-kinesisanalytics_3	5.19.8.1		7f142d26265d93f1a36a7a2582d03c6b74cd96cc
dev.zio	zio-aws-kinesisanalytics_3	5.19.8.2		610adb0178f21a5d61935bbe736165ea379773d3
dev.zio	zio-aws-kinesisanalytics_3	5.19.8.3		d41ee79b19e19d1016ff916664c050b7e696a16e
dev.zio	zio-aws-kinesisanalytics_3	5.19.8.4		5ae05715c45f974b6160da2d54248b7999820c55
dev.zio	zio-aws-kinesisanalytics_3	5.20.17.1		8c7a9e5bc9ba510978c3f8c98c512e230d6b3b7c
dev.zio	zio-aws-kinesisanalytics_3	5.20.17.2		959db02af1d10a87c2b9230579dd137060e1db29
dev.zio	zio-aws-kinesisanalytics_3	5.20.22.1		0c49223ef16da6bd84eacd68cc84914674b52114
dev.zio	zio-aws-kinesisanalytics_3	5.20.22.2		69f24f603c39b8a3fd6548f2d3f875c58cc5a08c
dev.zio	zio-aws-kinesisanalytics_3	5.20.22.3		e6d4395b9a0639e1cfc99cc19eedc00e5c968b23
dev.zio	zio-aws-kinesisanalytics_3	5.20.32.1		91232f6db93eb6638ef33bfa58c5483fb8a73a9f
dev.zio	zio-aws-kinesisanalytics_3	5.20.32.2		8f5a76b336a7c7bddb2c53a1ace8203270f910e8
dev.zio	zio-aws-kinesisanalytics_3	5.20.37.1		102cd5027349c7062785c0ff632b219792fb621e
dev.zio	zio-aws-kinesisanalytics_3	5.20.42.1		3bcf31a12ddc20d4f7169e2db995ec2bfe15184c
dev.zio	zio-aws-kinesisanalytics_3	5.20.7.1		ecffb743749f233e5ca76c008e6ed228833b885d
dev.zio	zio-aws-kinesisanalytics_3	5.20.7.2		cc64409370aaf886841f13310a3ff9155b90bbfd
dev.zio	zio-aws-kinesisanalytics_3	5.20.7.3		b35c8b0439eebb05b8c0c596ddbd8176ccd02e6d
dev.zio	zio-aws-kinesisanalytics_3	6.20.103.1		96ca1046d9ffd5b74d4927b7bd01dcad034889ca
dev.zio	zio-aws-kinesisanalytics_3	6.20.103.2		a7fbd2dc437dcdc0f323f0d9895e73bda5d7766d
dev.zio	zio-aws-kinesisanalytics_3	6.20.115.1		905fdb69a9065c58f1beb0313c5fe6de5e2111f5
dev.zio	zio-aws-kinesisanalytics_3	6.20.115.2		496d7cda653f251f35bf08286164893b389a2d0c
dev.zio	zio-aws-kinesisanalytics_3	6.20.120.1		f786aa8b68942fa9bd14f93aef0e31bbe0bbdc00
dev.zio	zio-aws-kinesisanalytics_3	6.20.149.1		112580f9873df17f4dce3b67106afbf675400e03
dev.zio	zio-aws-kinesisanalytics_3	6.20.149.2		da4729610812d35f526093f4d6d1eee4ab6e6f38
dev.zio	zio-aws-kinesisanalytics_3	6.20.162.1		1d291e09886c9db57ff0a6849b02d38e5cb15674
dev.zio	zio-aws-kinesisanalytics_3	6.20.162.2		4e83c983092c09c90f36afd6405feb1c84cc172e
dev.zio	zio-aws-kinesisanalytics_3	6.20.42.1		a880004c56923b89fbd37ee902b8b4590f0c91dd
dev.zio	zio-aws-kinesisanalytics_3	6.20.42.2		9cf7d0c3596644cf91cbcf52b3d62ce0975856d9
dev.zio	zio-aws-kinesisanalytics_3	6.20.47.1		61d25e9916f5a60f9df7ef243625bca92d7309ec
dev.zio	zio-aws-kinesisanalytics_3	6.20.56.2		24a8b607b508f1e5de6cb12d16f0dbcc8d525b69
dev.zio	zio-aws-kinesisanalytics_3	6.20.58.1		f1ccf1cebc343e2e66a83588c76fdb036f956aea
dev.zio	zio-aws-kinesisanalytics_3	6.20.58.2		ad98695cf2a09c237710a93ab367f80fb20c536b
dev.zio	zio-aws-kinesisanalytics_3	6.20.58.3		88d24b95c6cfadc6efdd3e183e91c2ec56ef683b
dev.zio	zio-aws-kinesisanalytics_3	6.20.61.1		266de4929eeb94c4981f464977566bed39dc3957
dev.zio	zio-aws-kinesisanalytics_3	6.20.69.1		4d4ab4044fb223bba6f35fb09fd45803652e846a
dev.zio	zio-aws-kinesisanalytics_3	6.20.69.2		c68723b50bd9e3ae34837039d493a475ac56673d
dev.zio	zio-aws-kinesisanalytics_3	6.20.74.1		ecb3da2587d718cf337017eb0b2a95bb1ab8dc7f
dev.zio	zio-aws-kinesisanalytics_3	6.20.74.2		8c1ab574eeb3f36f27e6c98a4326eedadd915bcf
dev.zio	zio-aws-kinesisanalytics_3	6.20.78.1		3d6418f6e58bc12ce7cc437dfc65f6976073cc97
dev.zio	zio-aws-kinesisanalytics_3	6.20.78.2		91c7b5f6ff270c5ae6e0c8c752b1a9e50a49adc5
dev.zio	zio-aws-kinesisanalytics_3	6.20.78.3		23e9fc1bc6763771061639675141ca4af1aba73f
dev.zio	zio-aws-kinesisanalytics_3	6.20.83.1		5264979a0a9396d26a6b7f2f4c52e71f960ade65
dev.zio	zio-aws-kinesisanalytics_3	6.20.83.2		7ef308fe1f6914df7aea25722cd004580526b3b7
dev.zio	zio-aws-kinesisanalytics_3	6.20.97.2		345ebc0d821bb6562e2af277e954c794f601a8a0
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.1		5d830ec79d5d3a32e6dff503892902b2073d1619
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.10		22b13e4f1806047fac04c487e006847c9d718415
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.11		f473f6675f2131c5e0fdd3c8c0dd922f520983d7
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.12		7646fecea81cb5c777d5cda47da39fcbd25b9070
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.13		5d4a8bcc226605db8cddf509b7cd92e555ff4e06
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.15		05bac1e72901545e99c8775cdd63bd92030782ba
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.2		8153cdd19220832ba8bf64ca7520c269ef651a3a
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.3		c71ba8ce6e440e90c98e2e0c6c43f011efc5d8da
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.4		6b85fc304b7a2adb33f9206fd7a790378bc7a833
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.5		c754da842265d2155f34fb040dca03efa3c7fd84
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.7		0e1e9435dde71ecafc63c91bd43579eab0ff7109
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.8		b6566be33bc1adc362adb413d21c4bea2ed4b3f4
dev.zio	zio-aws-kinesisanalytics_3	7.21.15.9		383ae9c36ad0e03a4dd5e29e2ae25870ff8d1cd1
dev.zio	zio-aws-kinesisanalytics_3	7.28.24.2		fcc53728934eefa8526b5e673f8a23ca8a87499c
dev.zio	zio-aws-kinesisanalytics_3	7.28.26.1		7febbabdc62145d033f37e86ed6f63374963cdd0
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.1		2b1648a3d511f8c879f5e6b7c7402155b9e960e5
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.10		f074b0df1698eba04df50b08dea8f6273ddc25f6
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.11		73ef784aa2991c07a2134f98effb8f30cb722ecc
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.12		675f04c035bec63861fcdfd03a6183cda94c06e3
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.13		df3a6461e06d96aac80445afd3245852e69cf1b3
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.14		8631fff7790ccda5fa1f608f43fb933adc9e68a2
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.15		56924d7e9cd51b9583c9eb69893f8502920509fe
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.16		3a3352a4971681d6e767d63ee45a59b02a6a009e
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.17		3d2830f94878a886abbf8ebbf336d92fd9ef2ebc
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.18		7164fe70a8bb3995dd697c59c896f9c53d6b5686
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.19		0b0d489fa9e465db6be5e040719de35ca6755c81
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.2		115d37d8b78283f2898a92e2ed7f5c331df068b0
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.3		34f8e54c07d2d7f1b1803bf5f63dc96aae9b06ca
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.4		669bb23380a32c2941376f9d9aab7688db854524
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.5		17e99589c04dbea9340d2a356e54df5e8b0b9b5e
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.6		7f71918da5489e72a77e0ecebbbddc3775b16442
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.7		07e8d6faf9691438e06f68b32dc941ab44957991
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.8		eb2e9d2bb2f3a27511d5ce29d53e020f4471f70f
dev.zio	zio-aws-kinesisanalytics_3	7.28.29.9		8c53998a3f9a34564bb9cacc9a1017d801452ce8
dev.zio	zio-aws-kinesisanalytics_3	7.30.15.1		324c61b7e2b951896421359b220a746cb6689266
dev.zio	zio-aws-kinesisanalytics_3	7.30.15.2		a633ef7b9f05fbea0fce558826d794213d379544
dev.zio	zio-aws-kinesisanalytics_3	7.30.16.1		168753f34521a966c3738d31fe7f3b2a74c685dd
dev.zio	zio-aws-kinesisanalytics_3	7.30.16.2		38b0cd0cda640e4c9d488f461cdf8bea222a1c01
dev.zio	zio-aws-kinesisanalytics_3	7.30.16.3		b7cba735a9844a34a7058d00774368d30d7e1a80
dev.zio	zio-aws-kinesisanalytics_3	7.30.16.4		fa5d1933d168b0b85c281c376434be174535352b
dev.zio	zio-aws-kinesisanalytics_3	7.30.20.1		0eeecf2d92909740f9c4d8ffa12a682023980f00
