co.roverlabs	picasso	2.5.2		N/A
io.syncrasy.dynamic	platform-googlemap-iosarm64	0.1.0	metadata	a44b1ef8d3489296c65cd2a73e1e086cd4703dbf
me.tfeng.play-plugins	spring-plugin	0.1.0		330607cf58fc8ba2b2853385f5cf8cf0a6fc5da4
me.tfeng.play-plugins	spring-plugin	0.1.1		9665de548778879e1e82dc3ee4a321c20cceab52
me.tfeng.play-plugins	spring-plugin	0.1.10		6444e10b59a9994c60a56a032a183a3503e83834
me.tfeng.play-plugins	spring-plugin	0.1.2		72f1d90ba52006e00a5d705a812e1f90fb9ef742
me.tfeng.play-plugins	spring-plugin	0.1.3		b917d931ceb546a19b9b35ac2b2c92be5c260ff4
me.tfeng.play-plugins	spring-plugin	0.1.4		db07d5781c588e53f51eb9c64bb489d382fffc6d
me.tfeng.play-plugins	spring-plugin	0.1.5		d087fd1bfe6f5d64ed6e968bc2d06dcdd4477b07
me.tfeng.play-plugins	spring-plugin	0.1.6		d3d9c09d49d1e0f613126c42be700f8ad733f354
me.tfeng.play-plugins	spring-plugin	0.1.7		7cc83eb16b4da3f455319fe9b8b498695a027332
me.tfeng.play-plugins	spring-plugin	0.1.8		488e2b24449c371a0deba9f4e380ef8f0e1a6269
me.tfeng.play-plugins	spring-plugin	0.1.9		0e932ac4c68592146cde696321b535c41d5c14bf
me.tfeng.play-plugins	spring-plugin	0.2.0		e5f7da04b6ceaee705db9b75d444f9e303f4eef5
me.tfeng.play-plugins	spring-plugin	0.2.1		322b56853175308ef2d822c9c6e8de5a7e81f165
me.tfeng.play-plugins	spring-plugin	0.2.10		7d1277a00ac293daea6371495684c62cb3db33b7
me.tfeng.play-plugins	spring-plugin	0.2.2		d4332376dea12a124b0b07ae581143d635431db0
me.tfeng.play-plugins	spring-plugin	0.2.3		7357ba482bc599a7b5979631dea3fcac8b84e964
me.tfeng.play-plugins	spring-plugin	0.2.4		dfb279a5c9ca015467ee1b764bc7d4c43c18f0f8
me.tfeng.play-plugins	spring-plugin	0.2.5		d9204ac5c0162d8589b167370b1cad9b58b727e3
me.tfeng.play-plugins	spring-plugin	0.2.6		32ea33f17c0479a5c8772b371f33919ea17d3469
me.tfeng.play-plugins	spring-plugin	0.2.7		5e283b30252960f5537b83c2234a7a741c5a998b
me.tfeng.play-plugins	spring-plugin	0.2.8		4f2cba7130c6a76a4149bbcfb6546c143f2c3cc4
me.tfeng.play-plugins	spring-plugin	0.2.9		e51b2585e094e7005fcf313ee565f98824cd85e4
me.tfeng.play-plugins	spring-plugin	0.3.0		fbfdb3b42c3cc42de9675c4cadfd31245b96a367
me.tfeng.play-plugins	spring-plugin	0.3.1		b74b558a7e1cbf3166236f0efc49e650c2efc2ed
me.tfeng.play-plugins	spring-plugin	0.3.2		6d6bc8799282ce7cc1c93b040452e96702e527b8
me.tfeng.play-plugins	spring-plugin	0.3.3		1effdd9f1f3abf91eeb78ca924595f04e1576411
me.tfeng.play-plugins	spring-plugin	0.3.4		287c8445c445285d83a6b459ad1cc40e1811d41f
me.tfeng.play-plugins	spring-plugin	0.3.5		dee086a51675ba6165221c9b485669f2429e3839
me.tfeng.play-plugins	spring-plugin	0.3.6		1c7c424b46576024da8725db74e30524dc94b723
me.tfeng.play-plugins	spring-plugin	0.3.7		42148cee51d9fd9ddfe2ae20f5467350834a68ca
me.tfeng.play-plugins	spring-plugin	0.3.8		5dd3339775e3d2d3f41cf12979d16038f5f62a70
me.tfeng.play-plugins	spring-plugin	0.3.9		e7798da33d6ce201a41d7c6dd4cec2f070dfd13c
me.tfeng.play-plugins	spring-plugin	0.4.0		a734c3ce97bcc5c50af1ecb6d48364951aaf3655
me.tfeng.play-plugins	spring-plugin	0.4.1		f8f839ac069cbb35f57ec7ed0c9652fae6b52e99
net.sunshow.nxcloud	nxcloud-springmvc-automapping	0.3.1		495a1eb4e4b8f21cf6860953c42075d495c90a26
net.sunshow.nxcloud	nxcloud-springmvc-automapping	0.3.2		e6bf78a8460d7439ce40ed77055e19641940e575
net.sunshow.nxcloud	nxcloud-springmvc-automapping	0.3.3		8aaf947c01f94a2ca6da9e76612e4c8e7b5d81a0
net.sunshow.nxcloud	nxcloud-springmvc-automapping	0.3.6		4c40b8b2b28583567d7124258dd1c7413aa6112c
net.sunshow.nxcloud	nxcloud-springmvc-automapping	1.1.0		23b1105a45d3d377878ffe577419dbe14e05ff16
net.sunshow.nxcloud	nxcloud-springmvc-automapping	1.2.0		d849c17ac4ce17226b336062e0b309eb02194e3e
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.0		590b2fb34fe2ae1b8264239adce0dcaf57c77774
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.1		d684643a6b93ed250fb6d401c5ce1919c38e3182
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.10		678f040b9144c6d2696696931fa2f2cd465c47ce
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.13		e732a9f32bf9c0141d550d039e4659cade2253ed
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.14		02b275383645f2692345857d196c8c5acd165a84
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.15		c81065815c3bdcc76a017daa979040dabdde5524
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.16		d923b2112f5e284a8422d783e1895df618fe65e9
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.17		4a0d69ec28f98798b9e9c839a5e75767598f3a06
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.18		25c8ec4289c51a1fe79982e849132e2f92f6b732
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.2		a41916c8694a001e0949b33404e49e1be0f75e24
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.3		9e6fa38b84fd9bf329f481120f2387e9ecc532e0
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.4		a31e87044f2e00e005d77ade1be0620c2ee841be
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.5		b50f73614a485908fa044a10f79d2ef62681ae98
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.6		0bab182ec063ee9c1b2f70dc37dbf5f3ea2653bc
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.7		8a65a58d783af169ad713d11ddb2993cd664c13a
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.8		5f567687ce6d28da6e282874c477802c80c393da
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	2.0.9		2540ea4e50f436585a095cfd3cb6a83bf4c975cd
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	3.0.0		5c80ee674cb7ca9a27e92d5993eb27f9d4a89fa1
no.entur.logging.cloud	request-response-spring-boot-starter-gcp-grpc-test	3.0.1		92d5a99285b5178d303b7a3fe6ff6a9f1584d3d7
org.arakhne.afc.gis.ui	gisroadfx	15.0		4b38ffaa1937e3f991cdade68bd167c8b312088c
org.arakhne.afc.gis.ui	gisroadfx	15.1		9b9bb9cb9deee1c807e7456c300392bfebdad49a
org.arakhne.afc.gis.ui	gisroadfx	15.2		fdd1421dc27f35f0da0bdd9707551480e81d732f
org.arakhne.afc.gis.ui	gisroadfx	16.0		252b3a7c0de74dd2ab30502170daabd96e616e5e
org.arakhne.afc.gis.ui	gisroadfx	17.0		157f0fb3801dec9ca9adb584747fd0921823c098
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Alpha1		cf2a389edcb34c70dd43f6b54f8410d80ca119e2
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Alpha2		86bb4d28e325a91e1ca7c5229f413c33b3db1184
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Alpha3		08859a14d867621608504da93bf17b43cb5fcb24
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Alpha4		518030cdc89f84fefb0d64a7ee008a80bb035adc
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Alpha5		c651ebd72bca7c764e76c733810be15848222713
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Alpha6		1a6c03e4153d9711b89f3c1f20d00936a3268722
org.arquillian.container	arquillian-droidium-container-api	1.0.0.Final		b8ca1f426c11c1c003e1110723730127e503792c
org.arquillian.container	arquillian-droidium-container-api	1.0.1.Final		ddaaf1c58604364ef05d49bb74df72d9bb753b43
org.codehaus.enunciate	enunciate-gwt-rt	1.10		3b779db2d1fa71ba463fa0d4444582c372b3f3c0
org.codehaus.enunciate	enunciate-gwt-rt	1.10-RC1		63d9ab7ffe8c9825cf9eb027be618fe8718e1e64
org.codehaus.enunciate	enunciate-gwt-rt	1.10-RC2		fa12bd3ec621489ea59f756ff947ba932d84a152
org.codehaus.enunciate	enunciate-gwt-rt	1.10-RC3		79fae3cd0ed627031540199a38845e729c3abf5c
org.codehaus.enunciate	enunciate-gwt-rt	1.11		8048a88a3bd9dc7c49cefa48addb62f37d92ef5b
org.codehaus.enunciate	enunciate-gwt-rt	1.11-RC1		3dfaddd89b597244bda610c9412c86c2752ae6c7
org.codehaus.enunciate	enunciate-gwt-rt	1.11-RC2		2314efd038704aa7ecb8c46596d6481d28c275bc
org.codehaus.enunciate	enunciate-gwt-rt	1.12		2c5fce9f7d0725020b61277ede7bd98926f7633d
org.codehaus.enunciate	enunciate-gwt-rt	1.12-RC1		cecdc6ab36f01cafb89793c1515ae5ad6b0962a2
org.codehaus.enunciate	enunciate-gwt-rt	1.12.1		18b506b76043f4da35c155cf96a8a5b4556bbbd5
org.codehaus.enunciate	enunciate-gwt-rt	1.13		0b967956b2732ae99f748b03033a0f26b8b851e4
org.codehaus.enunciate	enunciate-gwt-rt	1.13-RC1		365156d27266f7803486bf3eeb05433a117baacf
org.codehaus.enunciate	enunciate-gwt-rt	1.13-RC2		0f3e17c0a09baaf954a5c5f1a7cf0fd615ede441
org.codehaus.enunciate	enunciate-gwt-rt	1.14		53f98e229dd2b408389de4e0b43e192450a18d6a
org.codehaus.enunciate	enunciate-gwt-rt	1.14-RC1		52425b9e8ae25a2a57700b24183358804d1690cf
org.codehaus.enunciate	enunciate-gwt-rt	1.14-RC2		b400d76083786a508ab4c6ba826b9f1a482aabcc
org.codehaus.enunciate	enunciate-gwt-rt	1.14-RC3		b810908bd9318797b530d5cff685b91c3cc9c100
org.codehaus.enunciate	enunciate-gwt-rt	1.15		5fa14cc5cfcfe45a27e6df8dbf76a3e04ad5e563
org.codehaus.enunciate	enunciate-gwt-rt	1.15-RC1		f8ece0430362d06ff32ff01a7ee1384304ff0391
org.codehaus.enunciate	enunciate-gwt-rt	1.15-RC2		9431e069f1ad290fe85efc9952b1faa9b6bc3185
org.codehaus.enunciate	enunciate-gwt-rt	1.16		0d0e5e892fffee824235a0937d2ba49fa94763ea
org.codehaus.enunciate	enunciate-gwt-rt	1.16-RC1		96b06b742552a6a850abf700297b063420a36890
org.codehaus.enunciate	enunciate-gwt-rt	1.16-RC2		23c78ba342724994c93a2cae6d0bb7b555a4668d
org.codehaus.enunciate	enunciate-gwt-rt	1.16-RC3		f6e56fbb1c9868049cd4fe2be95412b60f2eec3a
org.codehaus.enunciate	enunciate-gwt-rt	1.17		39844f40a2a14167c8f07f6474b4aa6ed7ad6d5b
org.codehaus.enunciate	enunciate-gwt-rt	1.17-RC1		f858be294d2085587b603b2b9a54264e7d3b309b
org.codehaus.enunciate	enunciate-gwt-rt	1.18		6ab65056c88909e8622c48d45fa1d9cb0cfa56ae
org.codehaus.enunciate	enunciate-gwt-rt	1.18-RC1		90962adf4b060f68cc58fd4ec1fbb36eb45834c2
org.codehaus.enunciate	enunciate-gwt-rt	1.18-RC2		53dc314c22bcd65daf45e904de3961b5dadf9859
org.codehaus.enunciate	enunciate-gwt-rt	1.19		9043416bdb70650a829a23b98208a2460b51f2af
org.codehaus.enunciate	enunciate-gwt-rt	1.19-RC1		a6e23493f76f5772bc4e94312228b88197f2eba7
org.codehaus.enunciate	enunciate-gwt-rt	1.19-RC2		f3ebaabbfbdc8a21c99bcab20356c10f31ca7022
org.codehaus.enunciate	enunciate-gwt-rt	1.20		50ce9a2c9832aaa0ebf08170c8e33df72faa57af
org.codehaus.enunciate	enunciate-gwt-rt	1.20-RC1		c21d82330d2479ad79e82b4b5b4b761edddc92db
org.codehaus.enunciate	enunciate-gwt-rt	1.20-RC2		15bb17b764b6978f521759669ee70974d2668047
org.codehaus.enunciate	enunciate-gwt-rt	1.21		afecbb04c4ce238f9f72abbfb5b116b8f56376b4
org.codehaus.enunciate	enunciate-gwt-rt	1.21-RC1		782493102a39e5910e6f61859c8e95198f2477c9
org.codehaus.enunciate	enunciate-gwt-rt	1.21-RC2		e6f03201c8c156febce2251c0aab9e05c9a11a0f
org.codehaus.enunciate	enunciate-gwt-rt	1.21-RC3		bbd3a018562ca977993d39ca61a5a6a947e2b033
org.codehaus.enunciate	enunciate-gwt-rt	1.21.1		1262f4f0852532d21b33e0c51c467bc91a51ccb4
org.codehaus.enunciate	enunciate-gwt-rt	1.22		d3de773b85ea34f98dd05f36e70136c15d3cd886
org.codehaus.enunciate	enunciate-gwt-rt	1.22-RC1		7b9fd32ce0eb914f25cd40a9f290049ea0c3b94e
org.codehaus.enunciate	enunciate-gwt-rt	1.22-RC2		6104a0b9c36d13a61b26b72c9c96161ca7e6afce
org.codehaus.enunciate	enunciate-gwt-rt	1.22-RC3		92bdd72f25b24ce324ca7ff55157caef69aa3308
org.codehaus.enunciate	enunciate-gwt-rt	1.23		8b5dcd227aec00da3773f83197333c1ce4430fc7
org.codehaus.enunciate	enunciate-gwt-rt	1.23-RC1		11c3d224355380f0be9719be5de28798bc360765
org.codehaus.enunciate	enunciate-gwt-rt	1.24		50afb199d410687f846c08851bb89cd18ceb0ae4
org.codehaus.enunciate	enunciate-gwt-rt	1.24-RC1		3996b78023851586b0e8c8e01031fe58960e8013
org.codehaus.enunciate	enunciate-gwt-rt	1.25		5243de7f5323e21df314e753d66ea439fd831d35
org.codehaus.enunciate	enunciate-gwt-rt	1.25-RC1		951b21ffa97a64b145f5213aa60cc0daa7c99cfe
org.codehaus.enunciate	enunciate-gwt-rt	1.25-RC2		a35c6111b337b8f05fd36d7ac81c45aa5447d497
org.codehaus.enunciate	enunciate-gwt-rt	1.26		e0d162be46c0e542433692e2468cababb48eca22
org.codehaus.enunciate	enunciate-gwt-rt	1.26-RC1		20ec408c8c88f73eb62abd407f57d0c29cf73859
org.codehaus.enunciate	enunciate-gwt-rt	1.26-RC2		8fe98c6b6ee08d21f8d2df09cdd328d9f0bbd070
org.codehaus.enunciate	enunciate-gwt-rt	1.26-RC3		ab5152353158a99eb0b00643c954fb5ef544e767
org.codehaus.enunciate	enunciate-gwt-rt	1.26.1		c0fdf29009e8c4a69f8db76701a5fefa2141d9a0
org.codehaus.enunciate	enunciate-gwt-rt	1.26.2		11b0d28afb5fd3ff68ee2b055a0ef6413925536c
org.codehaus.enunciate	enunciate-gwt-rt	1.27		b441f99510edd6d9765c3b8dd3a70ee91b47d0df
org.codehaus.enunciate	enunciate-gwt-rt	1.27-RC1		9c2a7bf194718bbff2f29e9d41b93afdf220645e
org.codehaus.enunciate	enunciate-gwt-rt	1.27-RC2		f8b6e5bd9176335f9768a05b9742d2523049fe86
org.codehaus.enunciate	enunciate-gwt-rt	1.28		f07bde891d3638d963fa92aac7c7e4025a90b658
org.codehaus.enunciate	enunciate-gwt-rt	1.28-RC1		99da5c229cdfe06dcea9da85e16064bf5be51baa
org.codehaus.enunciate	enunciate-gwt-rt	1.28-RC2		1efe54d782e11e2014c7dc5add3b17df984d6f9a
org.codehaus.enunciate	enunciate-gwt-rt	1.29		b8f19f1707c66001d4518a4b67f8274c92f8acaf
org.codehaus.enunciate	enunciate-gwt-rt	1.30		71a4584e661577032e1cfbd0e9684583bc902fec
org.codehaus.enunciate	enunciate-gwt-rt	1.30-RC1		3a37c63c8f6013eae593593ee73bf9d43ca4b64d
org.codehaus.enunciate	enunciate-gwt-rt	1.30.1		a71bcf20743b84ca62533724baf4ef615dedd10e
org.codehaus.enunciate	enunciate-gwt-rt	1.31		5ff57fe4fd8fadd3a629ad86128c588c53cf4a44
org.codehaus.enunciate	enunciate-gwt-rt	1.8		0ed5fba63013ed6e4420a2efbfbf23151a928546
org.codehaus.enunciate	enunciate-gwt-rt	1.8-beta1		748fd7c0af19d28caebb4598f3b973981882a93d
org.codehaus.enunciate	enunciate-gwt-rt	1.8.1		1274ba6cd90b8ff6da99bd75ec404a6d177ecaed
org.codehaus.enunciate	enunciate-gwt-rt	1.9		0a8ec4aece55d647d73575162942be452c73a233
org.codehaus.enunciate	enunciate-gwt-rt	1.9-RC1		8018c7f22558c7b23dacf6dcbdcdf38be53fdad2
org.codehaus.enunciate	enunciate-gwt-rt	1.9-RC2		9aad2203618eaba2519e18a476fe27b5b8794747
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.0		5608021a857c62d95535f80aba3962c63b23db4a
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.0-M1		b8a5bd1cd1792dd35c5d75c90f1a1a7f63d50cc1
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.0-M2		c447d163c42b73d3405b3d5002595631951a7d8a
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.1		fe2f1faf9bfb5f2f744568bfb06c8a83458d0e94
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.2		d8e5e77b7530b8b002b82f59dfa65258ec3984ee
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.2-M1		074b6f174fb01687a28c022bc78fae803cc30ae8
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.2-M2		3a90802a59899abecc262d5860dff9f3ad4612cd
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.3		d4b6ed795841734d2446295ac208414e3e15db18
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.3-M1		6d1b57d85414f595e46ab759dbe8045430e435ba
org.dromara.mica-mqtt	mica-mqtt-client-solon-plugin	2.4.4		c407433c8024d06a875492efb6f46604d5671724
org.dromara.warm	warm-flow-jpa-jakarta-core	1.6.6		02df8b6411bc3fe69b59e7745e569fffcd863667
org.dromara.warm	warm-flow-jpa-jakarta-core	1.6.7		81006cdb9276837eedbb3bf053e174962c8c2e0f
org.dromara.warm	warm-flow-jpa-jakarta-core	1.6.8		410aa73a993428a0da5d03bc98f754943e3cd360
org.dromara.warm	warm-flow-jpa-jakarta-core	1.6.8.1		4020392dc045992ed04db93572cec4d4942115eb
org.dromara.warm	warm-flow-jpa-jakarta-core	1.6.9		85b8f460a080274d65124b0d38e00cc9964a6ebd
org.drools	org.drools.osgi.test	5.2.0.CR1		e6b0f324fa8df53464bd14ad4513b1b3b5fd4958
org.drools	org.drools.osgi.test	5.2.0.Final		549c2b039613ce05502c02c194707df5c74c9bd6
org.drools	org.drools.osgi.test	5.2.0.M2		476548eb49597f37011a4f07075e581de1b4e6e5
org.drools	org.drools.osgi.test	5.3.0.Beta1		f57ce7a1fea4d045ed6e9c3a34e283123c2e0326
org.drools	org.drools.osgi.test	5.3.0.CR1		e7566d29cfe612fce942fdd14b0bded6706101b3
org.drools	org.drools.osgi.test	5.3.0.Final		bd6f6171ee9caf31b9a85bfbd477b33e771719d7
org.drools	org.drools.osgi.test	5.3.1.Final		e5ef7055c23ffb6a0a06169d29e633d36a50a139
org.drools	org.drools.osgi.test	5.3.2.Final		75e02b11138c8d467ddf482a1aa66e7869bf10b7
org.drools	org.drools.osgi.test	5.3.3.Final		219bae6a9d2182869a05773a28465087a4264de7
org.drools	org.drools.osgi.test	5.3.4.Final		334e18a1126a3ed293b72253721c8e903105d325
org.drools	org.drools.osgi.test	5.3.5.Final		4ab59953a4665a6a2372098782f80ec48dc61ec4
org.drools	org.drools.osgi.test	5.4.0.Beta1		dcfc0ac515efae440b0696978c90af00e394d70f
org.drools	org.drools.osgi.test	5.4.0.Beta2		2ed999c79e6feddd37b61b9cca7adfed2fadead5
org.drools	org.drools.osgi.test	5.4.0.Final		93ac86c19eb2e21dbe1ff2dbe1e3347e06e602a1
org.drools	org.drools.osgi.test	5.5.0.Beta1		7c40515a51a4da504350933330f0c0b871476a40
org.drools	org.drools.osgi.test	5.5.0.CR1		6565545b816d3989431e08e8225389ea6b2a465d
org.drools	org.drools.osgi.test	5.5.0.Final		b6cfa7a5ccb059fa37085c2f1c9f08fd7fbf3410
org.drools	org.drools.osgi.test	5.6.0.CR1		cb3372e8dc357132f4656a1822c345c7774ccb2a
org.drools	org.drools.osgi.test	5.6.0.Final		23266cd3e2f2ccc0148591f4ecfe7134e3c5318a
org.eclipse.ecf	remoteservice	1.0.0-v20070627-1030		52ae02a5d1ee92008d759d6d624409ab4d84c498
org.eclipse.emfcloud	emfjson-jackson	2.0.0		242cfde00903b603feb89a1776c6f8819fed6d98
org.eclipse.emfcloud	emfjson-jackson	2.1.0		e9d8f858227978a39fd273f0c78e0ee5f201ac99
org.eclipse.emfcloud	emfjson-jackson	2.2.0		6f0b3d7748acb358ed434393c6d90e71872460dc
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.0		2d78b85715024639777b256cc57546ab9734a864
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.0-rc1		a66fc494367604e6d36c39dd82d6a3a689fcfe9e
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.0-rc2		062b5b9fcecbdb080f908cb9733635e2fd7c73ce
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.0-rc3		f62f8be5f63b2f27bc3c45f6768cf8dcc00b1516
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.0-rc4		9c90efe7aeac87069fa448c8f6be9e4cb2aaa028
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.0-rc5		e21f1a0938c3a5dc4b1d6efc1f78b73000134bda
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.1		61f47eabd207fd4c1a02f6bb33a8d01d6e7d0969
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.2		ec5a6ebc068f56d1f2017cd5f346b6746a07e7b8
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.3		4810762d352b27d5342c0058ee1010f9ca2e0fd7
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.5.4		01131058d45fd062992a4fe021596f6f512fef12
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.6.0		e4e6c55f9f61ac10ab92ce7dd71d27bae9313baf
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.6.0-rc1		4e176d0e2d2d59b73d8912830c63f3a4bacd384b
org.eclipse.tractusx.edc	ssi-miw-credential-client	0.6.0-rc2		7e35093b4a0725493859767795c905aa909740f2
org.eclipse.vorto	org.eclipse.vorto.codegen.lwm2m	0.10.0.M1		022c31995f190eabf3a80641dff2efb3ef1dba85
org.eclipse.vorto	org.eclipse.vorto.codegen.lwm2m	0.10.0.M2		82a3611b924922d740917904eedfa16c4f611139
org.eclipse.vorto	org.eclipse.vorto.codegen.lwm2m	0.10.0.M3		644e5c436c449ba274bb361d4dc381e4e49265a5
org.geomajas.plugin	geomajas-client-gwt-plugin-rasterizing-documentation	1.15.1		79469a2d2464e36384b88cc8a390aff91145abb7
org.geomajas.plugin	geomajas-client-gwt-plugin-rasterizing-documentation	1.15.2		cdaea1107febee62d62cd8a28ce000d127c89b12
org.geomajas.plugin	geomajas-client-gwt-plugin-rasterizing-documentation	1.16.0		16196c89f482be064ecc96e2f086f1689cc884ec
org.hobsoft.microbrowser	microbrowser-spi	0.2.0		1b80e992f10722eadc6a8e952ce8b26f8d3235c6
org.hobsoft.microbrowser	microbrowser-spi	0.3.0		0244724cad016f089566127de0a2b0b0d59d950e
org.http4s	http4s-crypto_3	0.1-019ed6f		f5adcc335d401d2104ba176211e0f22df9adc962
org.http4s	http4s-crypto_3	0.1.0		d4c24c8875d96630d04266babc9f17ef47efc875
org.http4s	http4s-crypto_3	0.2-10-391d900		b1af624d3630577505169e2aa8e43b69d3790f55
org.http4s	http4s-crypto_3	0.2-100-919a118		58becf1cf9dd03f5c89bc7933622b2c0344c397b
org.http4s	http4s-crypto_3	0.2-102-64f3fcd		c430f70dd5d3eeb7ffcb1efd55ebb2b39452a015
org.http4s	http4s-crypto_3	0.2-104-bd964ce		4c602030e32f1b91ea9db35f4d375075df7a54da
org.http4s	http4s-crypto_3	0.2-17-ea12f24		741dba51badde369350fe7beb90bcf3ac27c7a8c
org.http4s	http4s-crypto_3	0.2-18-a7c391d		2b836e9fe1d8c2d77b4b97a698351b59102efa81
org.http4s	http4s-crypto_3	0.2-19-9b50451		d022ca5eb86e1e333cbc398acc611684a5f413e5
org.http4s	http4s-crypto_3	0.2-2-b66a82f		e97810298f1dbf971b30fe902b38960391108070
org.http4s	http4s-crypto_3	0.2-20-1b256a0		6f9dfeb0badadb49b332cff119fe5ec41e6b8005
org.http4s	http4s-crypto_3	0.2-21-ead44d3		af9ed8ecae9c642824d001eb3fbdfde074b50d5f
org.http4s	http4s-crypto_3	0.2-23-4f0dcef		2c78ec8579c1ee509b48d6070a9eb694ca80b3d1
org.http4s	http4s-crypto_3	0.2-23-f63ebe5		fea2c3d59afaafb553c563a44f1104d04ceceeaf
org.http4s	http4s-crypto_3	0.2-25-8f4ca63		2e621bd005226de7eae376aa98a3bbe972161c1c
org.http4s	http4s-crypto_3	0.2-28-80fb8f3		04ef1b17056515562b7b478d8f934a4bf914b675
org.http4s	http4s-crypto_3	0.2-30-cec91ec		495f63ac19cf48d9e5111431ddc3e863ceb8c81d
org.http4s	http4s-crypto_3	0.2-32-ee1c425		0ec07560540ec383a3513cc09a491960bc318f77
org.http4s	http4s-crypto_3	0.2-34-941b00f		0137e8f737083c69d844c10d683ea07ff1f1e802
org.http4s	http4s-crypto_3	0.2-36-a69b328		1c8e02850c56a4ad9085614a611ad5647d689dda
org.http4s	http4s-crypto_3	0.2-38-1e17e8b		9908750b8541b28ef21df54fcffbff1e1414e121
org.http4s	http4s-crypto_3	0.2-4-27146d1		c536aaa7755b47d291a338411d2bfeccbda11d28
org.http4s	http4s-crypto_3	0.2-40-020bf78		b2a945ec23e575e50083c4a5317367a39c15770a
org.http4s	http4s-crypto_3	0.2-43-631acf7		809717d1629d16d62a28e25b294925f15bc2e80b
org.http4s	http4s-crypto_3	0.2-45-3360670		9bcfa3ce5832032537ee89c0c5245b72faa3b231
org.http4s	http4s-crypto_3	0.2-48-1270a5c		15ef0d1fe850be73caf0d96db02f1aa9dd976451
org.http4s	http4s-crypto_3	0.2-50-b171f9f		76644897586e8a37c9e2403a1adae2bf335cf28c
org.http4s	http4s-crypto_3	0.2-52-d672c97		b91b0096e3e4790653399679e5373c290d84a489
org.http4s	http4s-crypto_3	0.2-54-c6e93cf		89c90d00a09039ed531e24453a9edebd1e69ba4e
org.http4s	http4s-crypto_3	0.2-56-d40aeb0		9ffc799a314c8306b98854a9e86ea1fdf7560614
org.http4s	http4s-crypto_3	0.2-58-e1b6ded		cd30c12734b693a48767b35a06300cae1a88d3d4
org.http4s	http4s-crypto_3	0.2-6-6a0595a		94092a4af002d53be197e226fa09a69dcce59c58
org.http4s	http4s-crypto_3	0.2-62-8ba2b73		a4d97b28569d7e07097ffa80677bdc48006b2c42
org.http4s	http4s-crypto_3	0.2-64-dad6ac7		06be160201dbb4b2a70612e5fd5f0e08b1bed4af
org.http4s	http4s-crypto_3	0.2-66-c8aa1c7		23875bc32447467fb7dcd74b20b1d266695d3a84
