app.mustats.apolostudio	color-picker-compose	0.0.0		f7f4a4d6827d3d12f71e7146fea8c57f22cf171e
com.goldmansachs.reladomo	reladomo-serial	17.1.4		0556c7fa1b4315a46edb2cd9b74d4510fdba8d4e
com.goldmansachs.reladomo	reladomo-serial	18.0.0		6acb7442fb81e0f81603508e913361b3ee0c40b5
com.goldmansachs.reladomo	reladomo-serial	18.1.0		3fc307bbc275d58c66e074224b8730939e30effc
com.google.cloud	google-cloud-orchestration-airflow-parent	0.1.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	0.1.1		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	0.2.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	0.3.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	0.3.1		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.0.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.1		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.2		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.3		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.4		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.5		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.6		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.7		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.1.8		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.10.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.11.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.12.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.13.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.14.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.15.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.16.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.17.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.18.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.19.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.2.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.20.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.21.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.22.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.23.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.24.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.27.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.28.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.29.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.1		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.2		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.3		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.4		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.5		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.3.6		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.30.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.31.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.32.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.33.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.34.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.35.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.36.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.37.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.38.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.39.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.4.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.40.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.41.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.42.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.43.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.44.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.45.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.46.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.47.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.48.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.49.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.5.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.51.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.52.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.53.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.54.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.55.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.56.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.57.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.58.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.59.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.6.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.60.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.61.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.7.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.8.0		N/A
com.google.cloud	google-cloud-orchestration-airflow-parent	1.9.0		N/A
com.hummingwave	imagecrop	1.0.0		N/A
com.inkapplications.shade	serialization-tvosarm64	2.0.0		N/A
com.inkapplications.shade	serialization-tvosarm64	2.0.0	metadata	712f59423af46aaff927c821dfb6d9b67f73d74f
com.inkapplications.shade	serialization-tvosarm64	2.0.0-alpha		N/A
com.inkapplications.shade	serialization-tvosarm64	2.0.0-alpha	metadata	71451fa9e1e7b636db137fd3f2503c0941c65954
com.inkapplications.shade	serialization-tvosarm64	2.0.0-beta.2		N/A
com.inkapplications.shade	serialization-tvosarm64	2.0.0-beta.2	metadata	765cc39f1164e733f3fb22d8212893a3e28b117c
com.inkapplications.shade	serialization-tvosarm64	2.1.0		N/A
com.inkapplications.shade	serialization-tvosarm64	2.1.0	metadata	012a7e18d181f1b8fae1cc016c0033cea36aacd0
com.inkapplications.shade	serialization-tvosarm64	2.2.0		N/A
com.inkapplications.shade	serialization-tvosarm64	2.2.0	metadata	c5dfabb223ac32cb0fd83154305b4a65d997de28
com.inkapplications.shade	serialization-tvosarm64	2.2.1		N/A
com.inkapplications.shade	serialization-tvosarm64	2.2.1	metadata	2ed604d46812f9ccc0118c8392ff210bb3cd9fca
com.jarredweb.repo	webjar-quickstart-archetype	0.2-beta		a54e83b7a1baf66a631b08ef0f90899811ab952d
com.jdcloud.jmsf	meshware-dependencies	1.0.0		N/A
com.jdcloud.jmsf	meshware-dependencies	1.1.0		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.0		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.1		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.10		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.11		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.12		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.2		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.3		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.4		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.5		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.6		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.7		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.8		N/A
com.jdcloud.jmsf	meshware-dependencies	1.2.9		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.0		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.1		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.2		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.3		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.4		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.5		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.6		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.7		N/A
com.jdcloud.jmsf	meshware-dependencies	1.3.9		N/A
com.jdcloud.jmsf	meshware-dependencies	1.4.0		N/A
com.lightspark	wallet-sdk-iosarm64	0.1.0		N/A
com.lightspark	wallet-sdk-iosarm64	0.1.0	metadata	bbce7472bd5768da11a74e30ad626fd4124bbb8d
com.lightspark	wallet-sdk-iosarm64	0.1.1		N/A
com.lightspark	wallet-sdk-iosarm64	0.1.1	metadata	11a99533e1bcebe9d9ed1f311b73386ab1cc2a18
com.lightspark	wallet-sdk-iosarm64	0.1.2		N/A
com.lightspark	wallet-sdk-iosarm64	0.1.2	metadata	6ca267adfa38f3736d12eb8e8c6b0119a2352eb3
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.11		e6aecee456f10ad36af30874b82ceac59379ea65
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.2-3-9345be7d		f17b1b7a42c3ce2963ac571838fac5bc4d0bab16
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.2-7-31b8504d		acdf3822c64662cc8986942c032cc6dfc6a01389
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.2-8-43f5564e		2169e877e1a8045ef4d876a462256b0e365e64fd
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.3		6b96cabc51595d59cd371cedb64bc8fca2fb3583
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.3-1-b7b4900a		f60fde5a7476e6679234bca76f687cdd9a2c4be4
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.3-5-e41aa313		86a4c1c03b997a367c9d85bf84f0339bd4f0f37b
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4		0876a6b4430adbdf8d500a7aba392d0501b8e603
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-11-4f5bf2aa		8201800c726706481de14cd1f1cdc7fbbb9517c8
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-12-80e9cb33		ec06b40537259bd254ed3000bc972c8b5c6b2639
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-13-1ebd00a6		b1622a4ec93b5efc8221cc8fcdb76b35efca4b72
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-14-dc4c47bc		b609f3f27e79d8dbfde236d170f26c32ce04b32a
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-15-f4a8969b		f4065b9a0df5d46beaa2cc0df2b8f1352bc75a77
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-16-7317286d		1e7d790c1429912c76a5793ac7068ca3e8bdd67f
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-19-cd76521f		c1066f873fd2d5379ef9bbe1b52961f0b8bec652
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-2-71d100df		128dbdc4c36a6dc7a75ce85d7ebecf2dbfab084e
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-20-4c4fabc9		fe59b9e2dfef0327b1a5352d2f02f80bfdc8c08e
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-21-f7e4c22e		88b27148d8a60fe0a4f2177b606c96908f4ce3ef
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-22-4a9e6989		064c7b927d43c2385c1919d130d9fbb69ce183b6
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-26-9cd15abe		98f14bedc89028a2278297e047d994e640a66f68
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-29-871e6900		9f3520b694da3cf13affb3e0c5057bafbb519184
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-33-0af04a5b		34c723f49d88e576a60bba6cac77201358e8029f
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-34-1c7b3c38		99f80422671626a12654f07b1637a6c63e7d55d2
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-35-ebdeebe4		bc458f234e2fc03f22aaca0c665cd8ede951bc24
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-7-b48f40d3		87830826dc1872b1c5f51ef943d1096e37fa335b
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.4-8-30448e49		1993cbb4cc69b871a6820d4abfa866f79ed70a0a
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5		a4d22a417c600cc82b7751fd15d045af79cda2bd
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-10-82727958		1251f63d08de256c80c862e02b812550111662f7
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-11-626c15b0		37556af7479dab0cf13f3d47aac7d494d2632a73
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-12-e1748830		928c3b903b253cecc403d94b84bcf71d0cda6eff
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-15-277624cf		d2b0d676525617eac9bec338f2dbd658d544b1ad
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-16-8d71f4bb		2581d55595144dc83d4c54a7f2a3cdb6ad04c670
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-17-df243e14		02ad37403d1421415a02bd2ff170a37b18d231f6
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.5-8-5a062268		cbe007480695864479c318b752fdbb43836acc0c
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.6		58c71d2c3a88843dbbce87e542ed9abf221196e0
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.6-1-f8bff243		a08c145742bd79dd2f157f4fcf836b2f13f7e483
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.6-3-279104dc		ac84ebb077335305c2e3ed3ca5e91796041b51ef
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.6-4-4a07420b		5885bc12588141962673868d9a89e37e2f288aa1
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.7-1-cf178c31		317fb2c72b97155aff5b04f03a3377fc5c57fc0a
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.8		c159dd9b078bddcec4e0da0687027fa81b04ce90
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.8-1-837c3adb		75c0e2b9b16922447105f8ece3cd61f81efea1e7
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.8-2-159ff8f6		6a9e235ded5a9680d08cf054bf75424ca0db0032
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.9		32fc0519396256ecdbde9e20117a8e19cc4a9028
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.9-1-6321610a		ddc4e5435edf8aa526f7f20686802b412a64e0cd
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.9-2-7633e640		551891f65e20c93074de695e408560b0e2a2fcc9
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	2.5.9-3-feb1f0c6		6c46c78be014d3f725112b438de56544a5132ab9
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0		9fcdceac1a6d64945b6668dc5fdd772d82a6a188
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-1-beb96bfb		9fe32cb5d1ea521246c9efadcefddcc80f65eeb6
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-10-addf882b		88495f1122f4898988e688b6b57b8849e6f1497a
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-14-c12b6a59		801eb1808ba41b1a98f197d45bb9d8d70db17b24
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-17-e7a04255		0cfa034993fd85c99cf40c4d18577d30c5d63e17
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-18-2a7ed173		4e5c37faaa1785569a9e295663104dee6eb8b8ac
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-19-62705f47		8b292ccdc5610d276d4678c98026a1a1aca7feb8
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-2-1e6a6342		3b40d14f2ca4390bbff55320849484dff1d503d5
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-23-f664d7ef		987c6b66528df13b0518741ba90b369919bc288b
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-24-d63f26be		fb3658dce119a811a0e3230f3311be3236c19e3a
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-28-239e82a8		7cd7342b1abb09e5adb444b7dde34e09ff20b669
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-29-9e3ddc8e		2400104cd015d9bc19e2a419456f72341e9c3893
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-3-c2d1e706		bf103e89771d37482c3cc3756d44236b30cad9ed
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-30-1634c52a		0d8bd95c5d529c4c47fdcb27208943eec3acceb8
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-31-80deef08		6cffafec7322be2833bfbb1dd8b044130d1949f9
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-32-96e851cb		2a51f3db2dfdcfe9710c1a0dfab700fff0219948
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-33-94c5ce87		e0d9df146d4f9198d2bfeefb8e64fb840f9da510
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-34-2720f120		63799fa7f044dfee700cb8e32597f056679247bb
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-35-e445eb40		be7b0806b51be13e7e9707615cd7d3e9c5b36bb2
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-36-74c8477d		f48febd0daed7b306035a6f071495507ce375ac0
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-37-fc285279		c2ad0b1ff7154955148afae4998772af387a122d
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-38-96641965		4bc160656621832f6c3f326bef57aa87066153f6
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-39-ba724263		dc2658347fec47aa41485df0622a855db4c6ab53
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-4-cf2ff986		9a7a43829a25b1f5a89b628f5054f3820f6560ad
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-40-ab5f8a2a		eb5c3cda3af6871a9a82ac044dc700442951229e
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-41-2dacc9ef		5819d916471673e9b8d5dcad844a5b65d7231f6d
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-42-55d908ea		6cecff73b9f351584274a4c810593dbd851c0c08
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-47-cab76b4c		14e1bc4e97128a9ff8cfd23c9f242f439eec33f8
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-48-8b1a5588		e8d08537b3ecbc403eaaf199f1c58961a6d99e9c
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-49-151446c5		10e15744198c09fe817b2b38e909ee23e982a8d6
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-5-0af4d9e7		07237c9687edcb7ebbb2e85f85d28692c442d9e7
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-52-d2acc162		1e2e922913473c7d255e233f0ce2e2a747bf8b7c
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-53-084f7f4e		0eb256a567a704cfb38a739a4af31ac7fa428784
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-55-8ef21714		fc2dbdec00d87ffc2cd117d6e534a91ce1b96cd5
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-56-1bcbe7f6		d0ca08e02e52768013961991c947891ba623a23f
com.lihaoyi	ammonite-cross-3.1.2-repl_2.13.7	3.0.0-M0-6-34034262		180c2d610da6c29142d0f80f1f6a513101d967cc
com.navercorp.pinpoint	pinpoint-plugin-bom	2.3.0		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.3.1		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.3.2		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.3.3		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.4.0		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.4.0-RC1		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.4.1		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.4.2		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.5.0		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.5.1		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.5.1-p1		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.5.2		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.5.3		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	2.5.4		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	3.0.0		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	3.0.1		N/A
com.navercorp.pinpoint	pinpoint-plugin-bom	3.0.2		N/A
com.oceanbase	spark-connector-oceanbase-3.3_2.12	1.0		53b563cf9ee3c5fdae228d2c66292df2ac29aec1
com.oceanbase	spark-connector-oceanbase-3.3_2.12	1.0.1		603fc4e80af8d88b27cd3c095a5a2e3789b87a48
com.oceanbase	spark-connector-oceanbase-3.3_2.12	1.0.2		8b5c979fe9ddc46e5a5430e0b0a87ca07f2349ef
com.oceanbase	spark-connector-oceanbase-3.3_2.12	1.1		001d37ee359370ecba98b3c73b6ae38d234f688d
com.propensive	rapture-java8-support_2.12	2.0.0-M8		b2286c579d726879f5e6cbb4eedd99494c805c1e
com.propensive	rapture-java8-support_2.12	2.0.0-M9		fb06e050117e6c24a634b131a3c59c200e89d53e
com.raxdenstudios	commons-retrofit	4.0.0		N/A
com.raxdenstudios	commons-retrofit	4.1.0		N/A
com.raxdenstudios	commons-retrofit	4.10.0		N/A
com.raxdenstudios	commons-retrofit	4.10.1		N/A
com.raxdenstudios	commons-retrofit	4.13.0		N/A
com.raxdenstudios	commons-retrofit	4.16.18		N/A
com.raxdenstudios	commons-retrofit	4.16.19		N/A
com.raxdenstudios	commons-retrofit	4.16.4		N/A
com.raxdenstudios	commons-retrofit	4.17.2		N/A
com.raxdenstudios	commons-retrofit	4.18.0		N/A
com.raxdenstudios	commons-retrofit	4.29.0		N/A
com.raxdenstudios	commons-retrofit	4.30.0		N/A
com.raxdenstudios	commons-retrofit	4.32.0		N/A
com.raxdenstudios	commons-retrofit	4.33.0		N/A
com.raxdenstudios	commons-retrofit	4.34.0		N/A
com.raxdenstudios	commons-retrofit	4.37.0		N/A
com.raxdenstudios	commons-retrofit	4.4.0		N/A
com.raxdenstudios	commons-retrofit	4.41.0		N/A
com.raxdenstudios	commons-retrofit	4.42.2		N/A
com.raxdenstudios	commons-retrofit	4.42.3		N/A
com.raxdenstudios	commons-retrofit	4.43.0		N/A
com.raxdenstudios	commons-retrofit	4.5.0		N/A
com.raxdenstudios	commons-retrofit	4.6.0		N/A
com.raxdenstudios	commons-retrofit	4.9.1		N/A
com.raxdenstudios	commons-retrofit	4.9.2		N/A
com.raxdenstudios	commons-retrofit	4.9.3		N/A
com.raxdenstudios	commons-retrofit	4.9.4		N/A
com.raxdenstudios	commons-retrofit	5.0.0		N/A
com.raxdenstudios	commons-retrofit	5.0.3		N/A
com.raxdenstudios	commons-retrofit	5.1.0		N/A
com.raxdenstudios	commons-retrofit	5.1.1		N/A
com.raxdenstudios	commons-retrofit	5.1.4		N/A
com.softwaremagico	think-machine-4e-rules	4.0.2		d9f86f6f0f64ae2bff268a256de3ffdaa5d1d21d
com.softwaremagico	think-machine-4e-rules	4.0.3		c55ed398cea3471bb5a4c2f85a49a0aae4f74b5a
com.splendo.kaluga	location-jvm	0.1.10		831224c2364959d1150f43927922fc097073af8c
com.splendo.kaluga	location-jvm	0.1.11		abc1345038fce23fc41012f4f79c1a003a3260fc
com.splendo.kaluga	location-jvm	0.2.0		ca97eb4ab672b7e913f385e5fda1db54b2c52836
com.splendo.kaluga	location-jvm	0.2.1		94a7566c0e89336feea507a370da81f8be5fc10d
com.splendo.kaluga	location-jvm	0.2.2		c57f40e1d43d8ba404ed7a8738e9be7b188f1605
com.splendo.kaluga	location-jvm	0.2.3		1ab8c6557e13e45e1b425a0a4a1d78ef279aed1c
com.splendo.kaluga	location-jvm	0.3.0		05f00f0a12d57b6beb397383d02a385ab3165420
com.splendo.kaluga	location-jvm	0.4.0		7ac47a1521a71ecc5a1d96432f689eb01482ca8f
com.splendo.kaluga	location-jvm	0.5.0		fd3618edbc426ce92d871c53a839dbe7f1f25fab
com.splendo.kaluga	location-jvm	1.0.0		2d85f47943559593a6f035cfaba8124cf758746c
com.splendo.kaluga	location-jvm	1.1.0		2d85f47943559593a6f035cfaba8124cf758746c
com.splendo.kaluga	location-jvm	1.2.0		6d3fbb3885b00e558a41b37bf5e3e0cc74429bef
com.splendo.kaluga	location-jvm	1.2.1		6d3fbb3885b00e558a41b37bf5e3e0cc74429bef
com.splendo.kaluga	location-jvm	1.3.0		f74e76a1a8bc1ae6e365d1a6f2af9b25177f95d2
com.splendo.kaluga	location-jvm	1.3.1		f74e76a1a8bc1ae6e365d1a6f2af9b25177f95d2
com.splendo.kaluga	location-jvm	1.4.0		cf915375ff21054b5120e24c29ee927c2a6410ba
com.spotify.ffwd	ffwd-module-carbon	0.4.1		7aaa0acf8bd16552b767b342dff75291ddc5dd70
com.spotify.ffwd	ffwd-module-carbon	0.4.2		bc1c8e11082b2a33dc0ed16d111f3b1622ad8dac
com.spotify.ffwd	ffwd-module-carbon	0.4.3		ed1f9a40e225e9d40404dbe35d509610a1d2604a
com.spotify.ffwd	ffwd-module-carbon	0.4.4		e1eea95ffd447b28cc4562411a3d90ddaed1833e
com.spotify.ffwd	ffwd-module-carbon	0.4.5		2d2dea2ceec112c00ffbd0f1cb201aab88223527
com.spotify.ffwd	ffwd-module-carbon	0.4.6		ac1c9fedf640fc34b6b12df1c27da3bb5e3961fd
