com.liferay	com.liferay.headless.discovery.impl	1.0.11		2cdafb1ef3abafaf74e268a74f279d701a895f67
com.liferay	com.liferay.headless.discovery.impl	1.0.12		2d428c7673322bde795f33d37db17ed597097bfe
com.liferay	com.liferay.headless.discovery.impl	1.0.13		0cc497651ff2cf84cb4f977e895e54f0bd227e71
com.liferay	com.liferay.headless.discovery.impl	1.0.14		2703457fcb490b6bef63b5ebe98f4708ebb990ff
com.liferay	com.liferay.headless.discovery.impl	1.0.15		dd0b1424f57d90afca048b103743d09df66bafa7
com.liferay	com.liferay.headless.discovery.impl	1.0.16		44914cc3f5ab07412779ef2167de80984996987a
com.liferay	com.liferay.headless.discovery.impl	1.0.17		601a7dc825713d07b6f4ae42e7b78b418abef5a1
com.liferay	com.liferay.headless.discovery.impl	1.0.18		51b659e98adbc8a47bec27a66ccdb793343eeb2c
com.liferay	com.liferay.headless.discovery.impl	1.0.19		0ddb666702620b6771621cc074459618453e27c9
com.liferay	com.liferay.headless.discovery.impl	1.0.2		5f532e53259ce9c1b2bbe3f2b9c19298b72d80f9
com.liferay	com.liferay.headless.discovery.impl	1.0.20		0f233c606209659046e0840b9f7765c11041e79d
com.liferay	com.liferay.headless.discovery.impl	1.0.21		9703f879cfc0136dee024146f59b1e9ea13e03e5
com.liferay	com.liferay.headless.discovery.impl	1.0.22		9c77ae748880a818f0648dedfa2c97154eba73ac
com.liferay	com.liferay.headless.discovery.impl	1.0.23		c2016947b4b0fa9c02162aa9fe396dfec957bf8d
com.liferay	com.liferay.headless.discovery.impl	1.0.24		a5eb7b0901a0c19d7d133e0157d2f5d65b93442a
com.liferay	com.liferay.headless.discovery.impl	1.0.25		c96f1a231685cf8f55d73ec21d2b67dcf7733d84
com.liferay	com.liferay.headless.discovery.impl	1.0.26		f9a13587ba22817ebce12c016c49fddad83762c5
com.liferay	com.liferay.headless.discovery.impl	1.0.27		007fde4d04125d6d75f3ea608a4e7edeede4aee9
com.liferay	com.liferay.headless.discovery.impl	1.0.28		d9d49f35813a27fa9b216e48626660cf858f8d24
com.liferay	com.liferay.headless.discovery.impl	1.0.3		d9f3a2d60a02743b7cf314210c0770d918ba4752
com.liferay	com.liferay.headless.discovery.impl	1.0.4		530c734b1209ca94b38deea4f951c31aeb1c1bbd
com.liferay	com.liferay.headless.discovery.impl	1.0.5		c9a3c4ab783831b52e398c5f3cd66179fea953a4
com.liferay	com.liferay.headless.discovery.impl	1.0.6		26afa0ce85324b1647b55d80bd1dc847505c8960
com.liferay	com.liferay.headless.discovery.impl	1.0.7		bcf70ce276f6b690b64cc75b6a229ece3d75086b
com.liferay	com.liferay.headless.discovery.impl	1.0.8		33128b8e50955653d5ff19e39f43a3da763a9314
com.liferay	com.liferay.headless.discovery.impl	1.0.9		dcd46f4359d5613e094d8ab87591e664e3957ae2
com.liferay	com.liferay.headless.discovery.impl	2.0.0		3dacb5503ee2aa5cde1116a4d31670db17584a3c
com.liferay	com.liferay.headless.discovery.impl	2.0.1		d67aa2f8b83c81561d59d6b4772d1ca3e1131b6d
com.liferay	com.liferay.headless.discovery.impl	2.0.10		236e411cd4dcbe4dc8d599bcf7fed4861de68830
com.liferay	com.liferay.headless.discovery.impl	2.0.11		56bf89b17a796c074729f7ea1b4de5780dea626e
com.liferay	com.liferay.headless.discovery.impl	2.0.12		c7fdf9e6a9190f548e602995665b7c55787641c7
com.liferay	com.liferay.headless.discovery.impl	2.0.13		1fb0859348b12b4f79fae697a1ea162b4f0861f2
com.liferay	com.liferay.headless.discovery.impl	2.0.14		4dcc9953c34b9d9c0fd1b2132467df0a029989e8
com.liferay	com.liferay.headless.discovery.impl	2.0.15		d6909da27da9393c77aa99dc738e6b8d66e22ce9
com.liferay	com.liferay.headless.discovery.impl	2.0.16		6dfb6e855edbc216443eab3b548bf0abce7695d2
com.liferay	com.liferay.headless.discovery.impl	2.0.17		89387fb4d6644edee5daa5cd2987db77c1f5aa0d
com.liferay	com.liferay.headless.discovery.impl	2.0.18		0fea2d418f61fee429582c87a4a6259251219a98
com.liferay	com.liferay.headless.discovery.impl	2.0.19		18d1335a72cea8f6bbb0ca99ab6fd536301a06ff
com.liferay	com.liferay.headless.discovery.impl	2.0.2		6b08f6ad476e78795bb05e926af04075e96373ba
com.liferay	com.liferay.headless.discovery.impl	2.0.20		57917d90cf7fbedc6bdd457823efe94cca3d01f7
com.liferay	com.liferay.headless.discovery.impl	2.0.21		4884801ff52ec37f31861e69c4ccdfd1a688578c
com.liferay	com.liferay.headless.discovery.impl	2.0.22		5547a41807507d81dc5926f470532eed5ce6687d
com.liferay	com.liferay.headless.discovery.impl	2.0.23		164754556dfba9a39fc8fd69550b86912d5b90ea
com.liferay	com.liferay.headless.discovery.impl	2.0.24		e470d7159c9fe6903892725f709598cc0962423f
com.liferay	com.liferay.headless.discovery.impl	2.0.25		706f93f2ef171871477ac74049d48b35bde2124d
com.liferay	com.liferay.headless.discovery.impl	2.0.26		a5b4574a6d9d46ff5171ec32e01bce8f3a4f4dd8
com.liferay	com.liferay.headless.discovery.impl	2.0.27		d6a539e4a7868fae00017aabd7d2b3f496a6ea38
com.liferay	com.liferay.headless.discovery.impl	2.0.28		ac90fe5dad587ff5fed579e3291af073f87d7f3e
com.liferay	com.liferay.headless.discovery.impl	2.0.3		b8a58295d3c16edafa4bfd833ce91152f42ba286
com.liferay	com.liferay.headless.discovery.impl	2.0.4		4b8949557cfda4518ad3c38674a6403638fdea8b
com.liferay	com.liferay.headless.discovery.impl	2.0.5		b644a2c6be61c3187df1b1cb1998ff10e17f40c0
com.liferay	com.liferay.headless.discovery.impl	2.0.6		e60af4d80859b1ae6805058a9b8e42eb8eabd972
com.liferay	com.liferay.headless.discovery.impl	2.0.7		f691269ff192859f8f924b75cdcd4d8b2014eb4b
com.liferay	com.liferay.headless.discovery.impl	2.0.8		f20629090440c3f41b3f8e24ab5417d7b88c9487
com.liferay	com.liferay.headless.discovery.impl	2.0.9		fc8fee0da7442112f86f90346f591489fe9404ea
com.liferay	com.liferay.headless.discovery.impl	3.0.0		47f992d1b0c068e51e5264b21205c7305acaff86
com.liferay	com.liferay.headless.discovery.impl	3.0.1		fbfe367a3daad263f1637c38ed1c082ea1909a94
com.liferay	com.liferay.headless.discovery.impl	3.0.10		e2b493909480b55b498f6e328e24cbde863c25e6
com.liferay	com.liferay.headless.discovery.impl	3.0.11		f439d9e9b932d4151dea18d94b78b9b3179d8601
com.liferay	com.liferay.headless.discovery.impl	3.0.12		b2ac43ee0cb298711693d9db5cbe54162e768a05
com.liferay	com.liferay.headless.discovery.impl	3.0.13		b6f32fb64fdc7d1832a131e40f95be3b12011755
com.liferay	com.liferay.headless.discovery.impl	3.0.14		b2628103f596bbf17b4684826c932caad5d56b48
com.liferay	com.liferay.headless.discovery.impl	3.0.15		35c9064511354cdd1a5e8ca21efc66ab46532708
com.liferay	com.liferay.headless.discovery.impl	3.0.16		157aec26c794eef014c6509ab69db4e697762b90
com.liferay	com.liferay.headless.discovery.impl	3.0.17		cca46e232845b086031ef293be8a5df1f9e9a4d5
com.liferay	com.liferay.headless.discovery.impl	3.0.18		02070c5a76319d11d416ab348d12bbaf41757408
com.liferay	com.liferay.headless.discovery.impl	3.0.19		61b5261d125285eecebf70cbffeb2b22b4de2553
com.liferay	com.liferay.headless.discovery.impl	3.0.2		b3002f3d61ccf54516664444478bc0ba9703718a
