br.com.devsrsouza.compose.icons	line-awesome-wasm-js	1.1.1		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.24.0		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.24.0	metadata	3e30a767f1e32e8f55802644be1ed5f40ff2aec2
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.24.0-alpha01-compose17		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.24.0-alpha01-compose17	metadata	06a062bc521d881538a3d87d9eb340b0c0e9112d
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.25.0		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.25.0	metadata	5c6b7f9af32626729dbb42e9b46fe9f2b7f6a707
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.26.0		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.26.0	metadata	d0d15c9e6a315a246d7a6220d4a4457cb6ac6202
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.26.1		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.26.1	metadata	7131cc0e63ea9727f4e488abf0422f41f7351de8
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.27.0		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.27.0	metadata	5ec3e5b7ecf6f36fbdaa3d97f73a22d316e6d64d
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.27.1		N/A
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.27.1	metadata	5ec3e5b7ecf6f36fbdaa3d97f73a22d316e6d64d
com.slack.circuit	circuit-runtime-presenter-watchosarm32	0.28.0	metadata	10932a7f22bb02601ebe128dcab128cd5fb29eb8
com.tapstream	ga4j	0.1		c7a862e755823a9b88e453a11ce4ef43d82161ee
com.tascape	reactor	1.2.0		f998b8ea45f501de7d68063c1987a2a1f2682ed8
com.tascape	reactor	1.2.1		89b3097f52b8ea0b863ba9abb29d11105d92914d
com.tascape	reactor	1.2.10		c95a04b025e93cef1d168936f23ed3992b782344
com.tascape	reactor	1.2.11		ded7036068563c7bf49cff0e6c6670fc26398a41
com.tascape	reactor	1.2.12		da42d5299407eb65fc69036bac737daa33dd3836
com.tascape	reactor	1.2.13		41491b73193a2dd5d7e96fabc3de26f341c25500
com.tascape	reactor	1.2.14		a55166b43d79c4c8f5b3922eec62a880d7836a12
com.tascape	reactor	1.2.15		3fe41aa6de3100e0b7dfff8d7c33f866fb1429b7
com.tascape	reactor	1.2.16		dbc1be0a66258fadfb194f5fe693f5f6370e4968
com.tascape	reactor	1.2.17		2dd89bc95f19345d31776479b5797acbe4d365e1
com.tascape	reactor	1.2.18		c4879314909df59820c12e24489396c1e791b085
com.tascape	reactor	1.2.19		23594520b110ce65cf42eba38a9be14583616c4f
com.tascape	reactor	1.2.2		9e5dab1494e51952d0eb81b9a8ab6b17e9238058
com.tascape	reactor	1.2.20		dc7e215735cacb4e56a53f35d8820dcefd917845
com.tascape	reactor	1.2.21		b98d1d383ec6b9b94594d8c8d093bdc9dcb3f3ec
com.tascape	reactor	1.2.22		a51259a0263bf8777c73d755d0fc0341875b66a3
com.tascape	reactor	1.2.23		d1661543eed9c1e4adbd3278156ae6ea395b7c95
com.tascape	reactor	1.2.24		2714b3ca4d788bf383792da256502c6bd33596c8
com.tascape	reactor	1.2.25		226fbf07a27ab7e6ac991beeb1a1a1a3ada30a46
com.tascape	reactor	1.2.26		b43735a59ecb475111596ddce858df5938b7c659
com.tascape	reactor	1.2.27		d98a59396482647d87066b94bc71c1f438c28b2a
com.tascape	reactor	1.2.28		456744d72eddcf8f45f1fcb16c43b199d23ab10b
com.tascape	reactor	1.2.29		ce839d4d14c733692084e98890842981afc2be3a
com.tascape	reactor	1.2.3		246a0fd8c6e89bdbc1b6d6d510ff770e7d123d41
com.tascape	reactor	1.2.30		cdac29c4428381fb0d48c7834683aa804a11aa50
com.tascape	reactor	1.2.32		c9f6f379512da39481bbe35c6e3e6d3bf251ce44
com.tascape	reactor	1.2.33		b0fdd1b9cbafcb929d687acf5ca0fb9622e88535
com.tascape	reactor	1.2.34		da237d85c48ab9d8a1dc125cba8fc76f96da2d05
com.tascape	reactor	1.2.35		ae0e17cff55f1737e50c2ebc2f459d33030f8cfb
com.tascape	reactor	1.2.36		bd4d4339a9ad21dd27fff84f5b0dd2cb7610e8b3
com.tascape	reactor	1.2.37		96ddda2721149faab55ebc5c0a5c0d95cb8e9e0e
com.tascape	reactor	1.2.38		25acf048fcdc97688e6993f3173f62085991d44f
com.tascape	reactor	1.2.39		e3a96ebfff3725599852f7b78ddd84c876159c6f
com.tascape	reactor	1.2.4		c9414b2b3da6363931f5f06360af3eaae4b427eb
com.tascape	reactor	1.2.40		c688220b6124f3330646b15f0cfcf91032b9f3c6
com.tascape	reactor	1.2.5		87f037ef530321f38f3cba12087b5efa433c4313
com.tascape	reactor	1.2.6		0e3b0ebc798f9ec5edb28cfc9fcdecb21d623354
com.tascape	reactor	1.2.7		160c5a1427358159a7c0649f6d6f9aea86463162
com.tascape	reactor	1.2.8		da3a94dc392a809f17def9202a8e7bb4843cdcaa
com.tascape	reactor	1.2.9		f8fb7e65bfa9e17a383d789e43044e7a5b24f74b
com.tascape	reactor	1.3.0		e149bc9b5ff19cdee1eb4b77e23da8f39f19449e
com.tascape	reactor	1.3.1		352419267716f64ade0e2450a53737874dc8adc3
com.tascape	reactor	1.3.10		002050155fdc91d6a59a438c3e171b248da6259b
com.tascape	reactor	1.3.11		4a0f2b8dc8fb97d1d69c60acf587ce79c2fab0ba
com.tascape	reactor	1.3.12		62c614cc5235e8dc9efce76bf653e89eceaa256a
com.tascape	reactor	1.3.13		850cb8435a0e8ca3a3f3c099bb5ea470184559e7
com.tascape	reactor	1.3.14		9b4dfad4b67814a06ab4cd9d955e519785b40007
com.tascape	reactor	1.3.15		f00009454453d07a266f3d70ffaa25499c8fe395
com.tascape	reactor	1.3.16		bf43b7c64df863b24dc28c07639ca88ef7657cce
com.tascape	reactor	1.3.17		ea56ccd973a20703edf5b3c77daf68bed3945340
com.tascape	reactor	1.3.18		dabcb89f1536526b3434a0515ddc20135caedabf
com.tascape	reactor	1.3.19		82d668342021d9789f72334491ed9aeca2e50386
com.tascape	reactor	1.3.2		9c40d35c38dd467f21cbbce2ed40743974e5e4f4
com.tascape	reactor	1.3.3		751328f640ac3344e1583cc09b85c98d024fd660
com.tascape	reactor	1.3.4		0339de64d06526d5b649463b42dc12b0122df756
com.tascape	reactor	1.3.5		89c01af1edadc3641caede08be9946a98923b791
com.tascape	reactor	1.3.8		7dd5b437f77083e9b9a3d8252bbf5a668eaa83d8
com.tascape	reactor	1.3.9		1beed85c52c6ea791559789153c631347a9e0924
com.twitter	finagle-mdns_2.11	6.24.0		236b8f7b3706784ea836293c0f0060887daf2fbb
com.twitter	finagle-mdns_2.11	6.24.1-MONOCACHE		f6a011aa0c4e3b1b1dc6707815beadf4e28a3289
com.twitter	finagle-mdns_2.11	6.25.0		607ffa32b0d056eeb8ec0ca157eb4af713ca27bd
com.twitter	finagle-mdns_2.11	6.26.0		9ce2579cc813ad82391970f2ba7c3bff2cad9726
com.twitter	finagle-mdns_2.11	6.27.0		b8dc1ee6494d5e24ee6147e1167d5b34f3072382
com.twitter	finagle-mdns_2.11	6.28.0		98d05a46a8104264b4665021805191939be179d6
com.twitter	finagle-mdns_2.11	6.29.0		f17fc08eb5aeee2fc1c31c40416cdff51af349d8
com.twitter	finagle-mdns_2.11	6.30.0		233204a635b1af5fcc031e0b0c06a9ae4d52f361
com.twitter	finagle-mdns_2.11	6.31.0		7ae1ce5d865dc6ee4d908dd1699f27a0e1d4ee8e
com.twitter	finagle-mdns_2.11	6.33.0		c2ca454ef66cf39b32a92b8bc7b2bc5429171486
com.twitter	finagle-mdns_2.11	6.34.0		116484ba2fb989f5832cd52b1410fa1843db9717
com.twitter	finagle-mdns_2.11	6.35.0		6bd44fdef94c59ff94063e891f8c4d3661b4255a
com.twitter	finagle-mdns_2.11	6.36.0		c27cc900167f384189f6fcfe0d94e6b526dffba6
com.twitter	finagle-mdns_2.11	6.37.0		253bf78b232e6b35bdf26fbe2922da2fb102c7c3
com.twitter	finagle-mdns_2.11	6.38.0		e49c73b1345c5342075e6d7f925d180bb36c0907
com.twitter	finagle-mdns_2.11	6.39.0		6f252bfac4ee847255468ee4968fef75e705eac1
com.twitter	finagle-mdns_2.11	6.40.0		16672457ff22a2d3a2acf6c60a107d47839fedd2
com.twitter	finagle-mdns_2.11	6.41.0		01886f47b3c6355234141676d36493d1479cfce3
com.twitter	finagle-mdns_2.11	6.42.0		eb5410ac1387b1eb8413db79c847f3c3385aa7f6
com.twitter	finagle-mdns_2.11	6.43.0		616ba7a3d1414e716dd8167173a2ca6380ef1ea8
com.twitter	finagle-mdns_2.11	6.44.0		8fa60f9e1dd10d528fc05cde1b9f4aaa39926ad4
com.twitter	summingbird-scalding_2.9.3	0.1.0		8e7ed74026dffcd48073fa281d3449fe49d48508
com.twitter	summingbird-scalding_2.9.3	0.1.1		063af692bb4346fb4edafd1001d63295fafc0cdb
com.twitter	summingbird-scalding_2.9.3	0.1.2		3149298f5f3d3c2fa2ad89151829c104b5ffdf4b
com.twitter	summingbird-scalding_2.9.3	0.1.3		a1da88e40188d9da1582fe70cb3fbd389f9809eb
com.twitter	summingbird-scalding_2.9.3	0.1.4		731c893a2082a7348edb3a2047fdf0f3b62d93bf
com.twitter	summingbird-scalding_2.9.3	0.1.5		68bc1fa128c09785f91de9f97f7692ce1eb52d6f
com.twitter	summingbird-scalding_2.9.3	0.2.0		75f9fa20e17dc7b42d14a82fe5aa41c7ab0763ec
com.twitter	summingbird-scalding_2.9.3	0.2.1		33e1f5eb27b005a9c2bb444cc5adb62d32e60cfb
com.twitter	summingbird-scalding_2.9.3	0.2.2		63f17fced03e3163baf55a2dc6f5d44efba1bebe
com.twitter	summingbird-scalding_2.9.3	0.2.3		b55ca1ca28d34291a109f44cde97b238018bd4fb
com.twitter	summingbird-scalding_2.9.3	0.2.4		6fc6932fd152606f0faf11f9bc3e3a076321cc87
com.twitter	summingbird-scalding_2.9.3	0.2.5		c854be93e64a157d820bc4acd379fa33fa74b47a
com.twitter	summingbird-scalding_2.9.3	0.3.0		8b970bc56ed1cc880c34f5ceb731b96789dfe073
com.twitter	summingbird-scalding_2.9.3	0.3.1		5f187c5939bb5c67c06cc0d3715c9e6ca26d86d2
com.twitter	summingbird-scalding_2.9.3	0.3.2		3b76473c38a7cd26b591e6b6c886958976707088
com.twitter	summingbird-scalding_2.9.3	0.3.3		8d536774efffd2a3143e2d87a9c5aef91f3f1066
com.twitter	summingbird-scalding_2.9.3	0.3.4rc1		40c01e3ac18f0372334cf16e636e462b4b3ae0b8
com.twitter	summingbird-scalding_2.9.3	0.4.0		b8769baa6b75630e688a5888625444f864c4e31d
com.twitter	summingbird-scalding_2.9.3	0.4.0rc1		51f64b194f24cfcac8d45caa3519e2ab6f574f0f
com.twitter	summingbird-scalding_2.9.3	0.4.1		ed7b0d71cecbafbaed56fa56b21d40283c4f69a6
com.twitter	summingbird-scalding_2.9.3	0.4.2		a1eacd5af4e7554a765008809c94df9aa6a66643
com.twitter	summingbird-scalding_2.9.3	0.5.0		88acde6b1fe2c441db3c7e15b381d625fe336b8d
com.twitter	summingbird-scalding_2.9.3	0.5.1		cae3523f2f818058591853d5611e3ceff96d5b48
com.twitter	summingbird-scalding_2.9.3	0.5.2rc3		ac83f9a00d30448f0465c0fe591b372a63a03732
com.xeiam.xchange	xchange-parent	1.10.0		N/A
com.xeiam.xchange	xchange-parent	1.3.0		N/A
com.xeiam.xchange	xchange-parent	1.4.0		N/A
com.xeiam.xchange	xchange-parent	1.5.0		N/A
com.xeiam.xchange	xchange-parent	1.6.0		N/A
com.xeiam.xchange	xchange-parent	1.7.0		N/A
com.xeiam.xchange	xchange-parent	1.8.0		N/A
com.xeiam.xchange	xchange-parent	1.9.0		N/A
com.xeiam.xchange	xchange-parent	2.0.0		N/A
com.xeiam.xchange	xchange-parent	2.1.0		N/A
com.xeiam.xchange	xchange-parent	3.0.0		N/A
com.xeiam.xchange	xchange-parent	3.1.0		N/A
com.xemantic.anthropic	anthropic-sdk-kotlin-tvosx64	0.11		N/A
com.xemantic.anthropic	anthropic-sdk-kotlin-tvosx64	0.11	metadata	2e5520d63f145a3dc2529a9c542373ade9a793fc
de.jplanets.maven	jplanets-frontpage-report	3.0		b00ef2e973716726dddb3d6f9415c29b0d2d946e
de.jplanets.maven	jplanets-frontpage-report	3.1		e02e01ac722fd904ef3b20864075e1bdf0c6bf83
de.julielab	jcore-xml-mapper	2.0.0		fb84bff5ec5391196116d5a659578ab322a717c8
de.julielab	jcore-xml-mapper	2.0.1		48a200fdcb16b4854cfca31fb568bbcbc581cb8e
de.julielab	jcore-xml-mapper	2.1.0		1a0cec4202cbc88ceb44429051745d8ef1f06ba7
de.julielab	jcore-xml-mapper	2.2.0		edde13f31ff2a13a615deae5a2e3e68b14cf8870
de.julielab	jcore-xml-mapper	2.3.0		cab7a1e29de00a86a17f7bffe7f311f2b447866e
de.julielab	jcore-xml-mapper	2.3.10		e01ec39b0a9856d4bbe27d25be901468c9410f42
de.julielab	jcore-xml-mapper	2.3.3		157607b35700c539ae80b36f3f9bc76cf5051017
de.julielab	jcore-xml-mapper	2.3.4		b7ed25ac0834ffd70be9a0da1e59035a2a67d687
de.julielab	jcore-xml-mapper	2.3.8		cfdb6b7316cca8f6e2c1f591a431492e6b4ba1c7
de.julielab	jcore-xml-mapper	2.4.0		7b92b9c8ab44ca77bb34f7287a3236342e2f8f46
de.julielab	jcore-xml-mapper	2.5.0		9a66975ee2e375d86e14c00fad96a9d2ede6e5f2
de.julielab	jcore-xml-mapper	2.6.0		34f7905961130e08b9d33e121397c9db44ec0ec3
de.julielab	jcore-xml-mapper	2.6.1		6ec73fefdba3767fb0d37eed9b77df16a84e35dc
de.julielab	jcore-xml-mapper	2.6.2		6cace1a80ff3b7d15cf5ebb633aaa3e51374073a
de.learnlib	learnlib-lsharp	0.18.0		7e45a6c8fbe79a4b5b9c6df02251bab384314e50
de.tum.ei.lkn.eces	sbi	1.1.13		2fe8f74b03418cd37db11d4d8d74c5ed5cc64934
dev.limebeck	revealkt-cli	0.0.1		7083721c4d28ea0dea9f27b3a2079e47d59e7a89
dev.limebeck	revealkt-cli	0.0.2		2c1b93aa1d0704fec7503fbd5353f04e4d2a59d2
dev.limebeck	revealkt-cli	0.1.0		3bbd454bc7b67a95ced4207625bfecc9916d2a52
dev.limebeck	revealkt-cli	0.1.1		84f3e5213765c31203cc9454ef2d7e73bab335e2
dev.limebeck	revealkt-cli	0.1.2		ba7abdc8768823f877e804903e16f4e37757a730
dev.limebeck	revealkt-cli	0.1.3		3ecc500118e1a160e4ab156770226571879f956d
dev.limebeck	revealkt-cli	0.1.4		d2bd4827c29812f026fce2579bf934e4f1a470c4
dev.limebeck	revealkt-cli	0.2.0		4cfe1f8089c838cd763f272a75a4b5ecb37623f7
dev.limebeck	revealkt-cli	0.2.1		41b4a7bf69e45352f57edae272e37a617c7355d8
dev.limebeck	revealkt-cli	0.2.2		28d91c31501e05d6217ada7e2b4586806eb9df2d
dev.limebeck	revealkt-cli	0.2.3		8eae4a098499883a0899ca53e58a7174937bc94d
dev.limebeck	revealkt-cli	0.2.4		5c5461df3defdf0f7f61b6ccbe4679f84f838898
dev.limebeck	revealkt-cli	0.3.0		26bb7512b459b08e9b918694ddfe915054b68f64
dev.limebeck	revealkt-cli	0.3.1		f0dd25a31d82739ed44f214c39f3adaba4acf40a
dev.zacsweers.anvil	annotations-watchosx64	0.4.0		N/A
dev.zacsweers.anvil	annotations-watchosx64	0.4.0	metadata	8bde7afb8ab06d4ca5873e31eab2b064a2d99aa7
dev.zacsweers.anvil	annotations-watchosx64	0.4.1		N/A
dev.zacsweers.anvil	annotations-watchosx64	0.4.1	metadata	7b72dd48825972e37ca307cca2e97b8f17a8b384
eu.stratosphere	yarn	0.4-hadoop2		8edbdd3a7a977dd726195d940b60f4586cfe4ef3
eu.stratosphere	yarn	0.5-hadoop2		eb6c81ff2744313f2fcea4a95a7d9ee9af0915dd
eu.stratosphere	yarn	0.5-rc1-hadoop2		4699093e06812522efde9d8a6c4ee950860a8adc
eu.stratosphere	yarn	0.5-rc2-hadoop2		643b25b6b5719c52814b19113311b023a2f55690
eu.stratosphere	yarn	0.5-rc3-hadoop2		608a2a0c84741618e819988e8372c0fd3f194a30
eu.stratosphere	yarn	0.5.1-hadoop2		ffd15688e0d63319d7f2081ac4de5d713ad762a6
eu.stratosphere	yarn	0.5.2-hadoop2		08cc415f66e5690c0bb82e7a3508c2dae12397a5
hu.blackbelt.bundles.openapitools.openapi-generator	org.openapitools.openapi-generator	4.3.1_1		abd14c69de53515a6f5bb7ca81b519c151390feb
hu.blackbelt.bundles.openapitools.openapi-generator	org.openapitools.openapi-generator	4.3.1_2		7760f133a6108903febbfc839264c297e2a1f0bf
hu.blackbelt.bundles.openapitools.openapi-generator	org.openapitools.openapi-generator	4.3.1_3		c45e16010e789e244acd23682733576565ada112
io.brooklyn.networking	brooklyn-networking-vcloud-director	0.8.0-incubating		d63449ab2b862392e2b4de699749c1aff1cabc65
io.brooklyn.networking	brooklyn-networking-vcloud-director	0.9.0		f254533a62d564b7f7253b2c62ffa0ccf4ca6929
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.2.0.RELEASE		b51d745154f59039016891d4c755de2f085cf629
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.3.0.RELEASE		f01c3d42468e2029236158f575ab5cca5cc24e70
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.4.0.RELEASE		e67ff2737e0966bca81760539e2a8e78a36485c5
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.5.0.RELEASE		dd08c8ca80e08a43c4aa8eb9f4397095d334d48d
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.6.0.RELEASE		8196058de335569042215710cb173b27b0694f6f
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.7.0.RELEASE		4680eb40679074905637cce9c9efee8df92ca80a
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.8.0.RELEASE		ad2bcd64ae8440a942c12875538b5f99c72a6b1f
io.eventuate.messaging.http	eventuate-tram-consumer-http-micronaut	0.9.0.RELEASE		eee91ba708864e4187bc8960e5f383e58e276289
io.github.nichetoolkit	mybatis-toolkit-core	1.1.0		d54d246e9adf6b0e657b4f59a591c4b4b8ca007f
io.github.nichetoolkit	mybatis-toolkit-core	1.1.1		0a4e9fa280b7505e8da23c14bc31f1c5acdc484d
io.github.rzo1.org.apache.cxf	cxf-rt-ws-security	4.1.0-tomee-M1		d08693cff80ab218bfea089b10ac9be8a6ec9f13
io.github.rzo1.org.apache.cxf	cxf-rt-ws-security	4.1.0-tomee-M2		412eed7c8ad67ca25bf15907dc7607a965a885e2
io.github.tdxtxt	common	1.0.0		N/A
io.github.woody230.ktx	compose-ui-android	5.0.0		N/A
io.github.woody230.ktx	compose-ui-android	6.0.0		N/A
io.github.woody230.ktx	compose-ui-android	6.1.0		N/A
io.github.woody230.ktx	compose-ui-android	6.2.0		N/A
io.github.woody230.ktx	compose-ui-android	6.3.0		N/A
io.github.woody230.ktx	compose-ui-android	6.4.0		N/A
io.github.woody230.ktx	compose-ui-android	6.5.0		N/A
io.github.woody230.ktx	compose-ui-android	6.6.0		N/A
io.github.woody230.ktx	compose-ui-android	7.0.0		N/A
io.github.wycliffmuriithi	rabbitcamel	0.0.2		296553b1bab4c3495bb5943ef64525c695c42a94
io.github.wycliffmuriithi	rabbitcamel	0.0.4		0e59c35c4d27614ead2fcbfaf262b8babefb47ff
io.github.your-clock	integracion-testlink-cucumber-serenity	0.0.1		d4b2517adfce6a74b8b1199a041aadfaf098cd37
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-ALPHA1		N/A
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-ALPHA2		N/A
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-ALPHA3		N/A
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-ALPHA4		N/A
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-ALPHA5		N/A
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-ALPHA6		N/A
io.helidon.nima.http2	helidon-nima-http2-project	4.0.0-M1		N/A
io.higherkindness	droste-scalacheck_sjs0.6_2.13.0-M4	0.6.0		59d229b066211f49b46070fbc7e64e5ce14a42f0
io.holunda.decision	camunda-decision-runtime-spring	0.0.1		0d0c9d64ac4bf75c760936a2c26c62efb77ddfe3
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.28.0-alpha		f6d392a34e70fa2a8beb759d0c469883d355fd08
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.29.0-alpha		74c8f4d8d83846a756d592c38c41a6ef6cd0a124
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.30.0-alpha		22e04a65193c62c1f0b2da4b634b2da952aa7231
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.30.1-alpha		be2056195f59b1e3bf871270a32ad5e5da42cb68
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.31.0-alpha		49efd74ddb2f2893626642a28f6593307a5e80b4
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.32.0-alpha		c132f703868adf90adb4dde5843f637995b8561f
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.33.0-alpha		b2bd4e40f4d6309d379b4e3f62bc9a810bcfc92f
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.34.0-alpha		8e504745e2b5603f4cb6873f53ba8fc04def921b
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.34.1-alpha		41c76ddd4c8d246e50268d56b0dda5ce1d5f3c37
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.35.0-alpha		a420fa2088bdc44995164f24b7fa11efffeb2063
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.36.0-alpha		3aef4e530972d438995c9234b24bf548c4471d73
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.37.0-alpha		13f9d8b742c211d10fff482f5facb75ae225e8dc
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.38.0		ce946015f18e191840d120078db38dba21b675db
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.39.0		93d6c1b6e00958122175d8f1d0fad758c0e89b98
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.40.0		27380b91568742032deecf050d5526ddeb208019
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.41.0		9ceba9c6509cd84bf82e6f670b16d7c051d7f296
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.42.0		52d0c1594e9c3ac88de5820a60574ca66b01365f
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.42.1		916ac0650189aec200ff315552a9ac25e5265d61
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.43.0		7c9f4c781b78d1ec26537f4bad0b573eb560b41e
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.44.0		6acbd95cbd1bf1280ff839ae7e0b44afe105bd28
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.44.1		bc755e6ac4395cdbceaff6064ae632777455f07e
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.45.0		0e403d5278b3ef456aa4b5a3b799ae570e5f25d1
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.46.0		b4724791abd1efef67445a8277ad71c5fbfd00d2
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.47.0		3d45e3d4d0f093a062dc8df72ce0f42085f6b330
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.48.0		e827fa15ea5e39e4fa7a62a7ae51b9631995d455
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.49.0		8fb8d007129dc1f7d87bc473952d1862013102bb
io.opentelemetry	opentelemetry-exporter-sender-jdk	1.50.0		0c6290db03f3b8e029a0ade54447d008e3fcd018
io.quarkus	quarkus-vertx-graphql-deployment	1.1.0.CR1		3aa796f237429813b729bf4c6f6b01c4234a25ec
io.quarkus	quarkus-vertx-graphql-deployment	1.1.0.Final		f76cbeab45c3a12fef2161bd598ebd90535c1747
io.quarkus	quarkus-vertx-graphql-deployment	1.1.1.Final		bb9843bef70a353f0592a0acf5a2410911eba10f
io.quarkus	quarkus-vertx-graphql-deployment	1.10.0.CR1		017f2d60b23ed87329ecc4372fa88f081e463364
io.quarkus	quarkus-vertx-graphql-deployment	1.10.0.Final		7b2c75756a3522c58360bcebd093085962e59369
io.quarkus	quarkus-vertx-graphql-deployment	1.10.1.Final		7f92d93b1c3a58c88265727a658864134b0666c4
io.quarkus	quarkus-vertx-graphql-deployment	1.10.2.Final		d78c6a8bb486a8516217dd78f8f9386b2c419279
io.quarkus	quarkus-vertx-graphql-deployment	1.10.3.Final		d0c1da33a72642d02b4f7e9fc03674b1849313ff
io.quarkus	quarkus-vertx-graphql-deployment	1.10.4.Final		db6bdf5940e6816b6de98b47fe4343cac3cd301a
io.quarkus	quarkus-vertx-graphql-deployment	1.10.5.Final		d7238c4c3627744e1c63a3630f36034a436e7f87
io.quarkus	quarkus-vertx-graphql-deployment	1.11.0.Beta1		5a780a3c1aabf6936f048ef096c645e539a0cd73
io.quarkus	quarkus-vertx-graphql-deployment	1.11.0.Beta2		9abacbb4e257ceb3e92f903c6a56e5cb827a1f5d
io.quarkus	quarkus-vertx-graphql-deployment	1.11.0.CR1		b207e6d3eeebfc7d9b160fcd4f899aff9e327dda
io.quarkus	quarkus-vertx-graphql-deployment	1.11.0.Final		a351a9be8c5e4393e30f21ca6da8c561d8c59fa4
io.quarkus	quarkus-vertx-graphql-deployment	1.11.1.Final		1afa66999a72ce4cb57e5ff2a45dfcd353f73b7a
io.quarkus	quarkus-vertx-graphql-deployment	1.11.2.Final		5f136e4bedeb368c1b4f04699d7dc6da825c7bdc
io.quarkus	quarkus-vertx-graphql-deployment	1.11.3.Final		e1da2ea457b05b466d9c2891ae4d64fa386c9fe8
io.quarkus	quarkus-vertx-graphql-deployment	1.11.4.Final		25f6163664e3940453f39ff335d6b864797a1dc5
io.quarkus	quarkus-vertx-graphql-deployment	1.11.5.Final		293d0d1a8cec349926a217c3af0cf06030df5476
io.quarkus	quarkus-vertx-graphql-deployment	1.11.6.Final		d6f1d97eabd2a6ccdb6ed12a393c0b379059b203
io.quarkus	quarkus-vertx-graphql-deployment	1.11.7.Final		3757f9717003c7b5bf4e65df82ee1557deccd488
io.quarkus	quarkus-vertx-graphql-deployment	1.12.0.CR1		2c3a1220e26a5ce2a01b8ca5b6c57811e16fb20b
io.quarkus	quarkus-vertx-graphql-deployment	1.12.0.Final		73ed5acb95488fe4439b92280dc171b8ac19cc46
io.quarkus	quarkus-vertx-graphql-deployment	1.12.1.Final		747e18b6b998cb92d26e75ea1cbe93a5f43e64dd
io.quarkus	quarkus-vertx-graphql-deployment	1.12.2.Final		a37b729bc1e2897f2abb179c9fbd4d183342a7b7
io.quarkus	quarkus-vertx-graphql-deployment	1.13.0.CR1		ca988cf3275ef48f7e37a7be050340a58f05cc7e
io.quarkus	quarkus-vertx-graphql-deployment	1.13.0.Final		0c1df3edb7e86bc295ce416ee09c84f239c8f82b
io.quarkus	quarkus-vertx-graphql-deployment	1.13.1.Final		092c429eeccd8a4c3ae7a25b0b4430a26fa855a2
io.quarkus	quarkus-vertx-graphql-deployment	1.13.2.Final		e95f532d294979fa51fdb4a9630e49b6e5f7d70a
io.quarkus	quarkus-vertx-graphql-deployment	1.13.3.Final		7b5eb41f97732f5dfc51f8fe875501bfe88e81cf
