br.gov.frameworkdemoiselle.component	demoiselle-vaadin-parent	2.3.0		N/A
de.mirkosertic.bytecoder	java.desktop	2020-05-04		fb480c65a96d92703727ad6367fbc61b3b6e422e
de.mirkosertic.bytecoder	java.desktop	2020-05-12		5d879834ec08087b12744f4a8c3189a222010265
de.mirkosertic.bytecoder	java.desktop	2020-05-15		0535f7585841c96ff741ef57698850301dcdfd27
de.mirkosertic.bytecoder	java.desktop	2020-07-01		03c66a249fe82c2db9ff0a34901954a2cd573138
de.mirkosertic.bytecoder	java.desktop	2020-07-29		7976702191e0609c7024ee1a966edfdaa2ff6c84
de.mirkosertic.bytecoder	java.desktop	2020-09-25		5d0e9555b49b39e75e3df01e17418e19fed527c0
de.mirkosertic.bytecoder	java.desktop	2020-10-05		627a105bbe0b83a1fcd1273a6da4269efa3169fb
de.mirkosertic.bytecoder	java.desktop	2020-12-01		0351718a731b050393e437a6c9fe99bb9f27424d
de.mirkosertic.bytecoder	java.desktop	2021-01-26		46e4289f5dd821bf8bc6200e5dd76efdfcf53d7e
de.mirkosertic.bytecoder	java.desktop	2021-03-08		20876069331f082e111434729785e95312632c66
de.mirkosertic.bytecoder	java.desktop	2021-06-10		d558bef0e8faf4d877da33c6d402f94a063139f5
de.mirkosertic.bytecoder	java.desktop	2021-06-24		e01e0ca05a56c3a468204b66d5a561a1a648d48d
de.mirkosertic.bytecoder	java.desktop	2021-07-23		88ca339bf1d848d64d6883a537cc6f51250c7c4f
de.mirkosertic.bytecoder	java.desktop	2021-11-02		407ef42adb32d47ef912074b42297e25b6fbd5f2
de.mirkosertic.bytecoder	java.desktop	2023-03-28		d65b9fa04d78f37b57c7552a694fd1e969676df8
de.mirkosertic.bytecoder	java.desktop	2023-04-05		84a0848835e375d352608bf73ff7f75b918d09ee
de.mirkosertic.bytecoder	java.desktop	2023-04-24		bcabfa298d37279c6c184e788fff51b89857d533
de.mirkosertic.bytecoder	java.desktop	2023-05-16		248f682478a3f1f3fa13b68452e00033e9ebf606
de.mirkosertic.bytecoder	java.desktop	2023-05-19		19f196e1081a6361eb4e21a3344f54e997b1ab83
de.mirkosertic.bytecoder	java.desktop	2023-06-15		7cb57598ec63cb4c3f0edc6855daf2e8d2bf99ca
de.mirkosertic.bytecoder	java.desktop	2023-12-01		d2dd550d1e307081de4821839742589f8ca425fb
de.mirkosertic.bytecoder	java.desktop	2024-05-10		3348ba1f040782d43818541a8c0fa0396d869fd6
dev.truewinter	PluginManager	0.0.7		d2062431e2cb14d80b9f6aa7c5e3e5ca2c388766
dev.truewinter	PluginManager	0.0.8		691d11f7e8c70babde6af2d956b6a79e1c80ca9f
dk.mada.java	dk.mada.java.gradle.plugin	1.0.0		N/A
group.springframework.ai	spring-ai-ollama-spring-boot-starter	1.0.3		54a4e2bd4c1f91e98fb611a4b1e645e9a69c9c3b
group.springframework.ai	spring-ai-ollama-spring-boot-starter	1.0.4		1a1feae26473f7cf7a9f15f19e3d541fe8a415b7
group.springframework.ai	spring-ai-ollama-spring-boot-starter	1.1.0		702fde066a0c89f13e94c764148390d5d9aded72
info.kfgodel	bean2bean	1.1.5		80e09de57e724955aa8c528233c236b01e42bac5
info.kfgodel	bean2bean	1.1.6		bd92c75ab4071329063b69e859be9fe9963f30e7
io.accur8	wsjdbc-shared_2.13	0.0.0-20210818_0952_raphsonatype		cb923d3d7fef88a9913d2ec4414a4fc2a6f5d684
io.cordite.braid	braid	4.4.0		N/A
io.cordite.braid	braid	4.4.0-RC01		N/A
io.cordite.braid	braid	4.4.0-RC02		N/A
io.cordite.braid	braid	4.4.0-RC03		N/A
io.cordite.braid	braid	4.4.1		N/A
io.cordite.braid	braid	4.5.0		N/A
io.cordite.braid	braid	4.5.1		N/A
io.cordite.braid	braid	4.5.2		N/A
io.cordite.braid	braid	4.5.3		N/A
io.cordite.braid	braid	5.0.0-RC01		N/A
io.cordite.braid	braid	5.0.0-RC02		N/A
io.cordite.braid	braid	5.0.0-RC03		N/A
io.cordite.braid	braid	5.0.0-RC04		N/A
io.cordite.braid	braid	5.0.0-RC05		N/A
io.cordite.braid	braid	5.0.0-RC06		N/A
io.cordite.braid	braid	5.0.0-RC07		N/A
io.cordite.braid	braid	5.0.0-RC08		N/A
io.cordite.braid	braid	5.0.0-RC09		N/A
io.cordite.braid	braid	5.0.0-RC10		N/A
io.cordite.braid	braid	5.0.0-RC11		N/A
io.cordite.braid	braid	5.0.0-RC12		N/A
io.cordite.braid	braid	5.0.0-RC15		N/A
io.cordite.braid	braid	5.0.0-RC16		N/A
io.github.er1c	scala-joda-money_2.12	0.1		ce8d4af3a747506ca342fce09b195931ef1bff0f
io.github.idfinance-oss	logkmpanion-no-impl-android	1.2.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.3.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.3.1		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.3.2		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.3.3		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.3.4		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.3.5		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.4.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.5.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.6.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.7.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.0		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.1		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.10		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.11		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.12		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.13		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.14		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.15		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.16		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.17		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.18		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.2		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.3		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.4		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.5		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.6		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.7		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.8		N/A
io.github.idfinance-oss	logkmpanion-no-impl-android	1.8.9		N/A
io.github.key-del-jeeinho	messa-lib	1.0.0-rc1		3835624117eafdd8942411f8d1ca2951c5d51eec
io.github.key-del-jeeinho	messa-lib	1.0.1-RELEASE		fc0df944ecff14549ca70c8c45a934ba33c68a38
io.github.key-del-jeeinho	messa-lib	1.0.2-RELEASE		e730521b52ef0b67e565bea87bdb9b61adc8b4b8
io.github.key-del-jeeinho	messa-lib	1.0.3-RELEASE		b7850364537408e7717f21793ecd86310725f29a
io.github.key-del-jeeinho	messa-lib	2.0.0-RELEASE		51712e59bd4b430a207b951f72f7851b0f091b0a
io.github.key-del-jeeinho	messa-lib	2.1.0-RELEASE		1dfcac2193b154bd8d42fe6007dbb6f97746c6b0
io.github.linceln	flyway-core	5.0.7		a171c8e6329efd8a75fb8c3f34a3fb891af4043a
io.github.linceln	flyway-core	5.0.7-oracle		d10b9fe11fb6bf524ef61238e5895631e849b88b
io.github.linceln	flyway-core	5.0.8		18b29cc186332402357daf13142df7a72cef2287
io.github.minliuhua	warm-flow-mybatis-sb-test	1.1.80		3c21c51b0fb36d7a56ab76db53507c1d191e2f3a
io.github.minliuhua	warm-flow-mybatis-sb-test	1.1.90		45193991b15bc8b479c72d8bd0014faeeb06ecfa
io.github.minliuhua	warm-flow-mybatis-sb-test	1.1.91		d9378fc391e15eed6a205ebcf3b2737f7530a4f7
io.github.minliuhua	warm-flow-mybatis-sb-test	1.2.0		281e21f5fc1f16a1fcc9e26eb64b49fe50ff6080
io.github.n7ghtm4r3	equinox-navigation-wasm-js	1.0.0		N/A
io.github.n7ghtm4r3	equinox-navigation-wasm-js	1.0.1		N/A
io.github.open-accelerators	prospect-campaign-design-client	1.0.2		733b110b7522fec2cdd89520f0905dde05af99a4
io.github.quillraven.fleks	Fleks-js	1.4-KMP-RC1		29aca54d85bb5d02a5c85d8aa4272fa5c81a11ed
io.github.quillraven.fleks	Fleks-js	1.5-KMP		064053f99195f1a9b4da6732b683b6b869645d85
io.github.quillraven.fleks	Fleks-js	1.6-KMP		8cc5ed5ee6825ce4c8839b7bea46d83b7b4a506d
io.github.quillraven.fleks	Fleks-js	2.0		9aa2b165dd9a1989141fe0f517a98ae61cd5fb18
io.github.quillraven.fleks	Fleks-js	2.1		eed889b607a31c462fd3258997e336989ce0995d
io.github.quillraven.fleks	Fleks-js	2.10		N/A
io.github.quillraven.fleks	Fleks-js	2.11		N/A
io.github.quillraven.fleks	Fleks-js	2.2		ddf5ef2ac6b4e963b39bd5c23d7b1f5b0c8376e4
io.github.quillraven.fleks	Fleks-js	2.3		80a4bd4553b2999b7e47a36e202d43d6ebb6f0bd
io.github.quillraven.fleks	Fleks-js	2.4		N/A
io.github.quillraven.fleks	Fleks-js	2.5		N/A
io.github.quillraven.fleks	Fleks-js	2.6		N/A
io.github.quillraven.fleks	Fleks-js	2.7		N/A
io.github.quillraven.fleks	Fleks-js	2.8		N/A
io.github.quillraven.fleks	Fleks-js	2.9		N/A
io.github.xinyang-pan.crypto4j	crypto4j-okex3	0.1.3		26b3721c2a003ef37ba714f70098800e728f2fd6
io.github.xinyang-pan.crypto4j	crypto4j-okex3	0.1.4		5b93e256320936aa58eede3ef2f9805224c9bee5
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.0		6a1b704a818895f5a3d7e88a89762ddaa4228916
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.0	metadata	8adbb2032e3d38f74b7287dd191a911171e2f695
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.0-beta-1		1864dd92d3f3ef6ed453cc12569b3d23d4520c62
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.0-beta-1	metadata	0643d33252d753aee0e79fc84d8d83433cc1eb45
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.0-rc-1		7ae9c8d7ca309adfe0e35b8aac1ccdb8c6cc2008
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.0-rc-1	metadata	128e577d7664ce3bed097d82a8205cefa79446fa
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.1		e78ccfb264ebec1dc9c25f1ca8c1e1e3eaa438eb
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.1	metadata	d923a96dcef636b13513a87835a74ea138b7ce92
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.2		3e35c9dfa6ab1d84455074cc442b981bf417277a
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.2	metadata	9c74363ea50202050892d74e1a89ad6ee2993469
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.3		2cf5070036eb4503e28403575653afbd6debca40
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.0.3	metadata	0533e94b153b464f1e9863da473851decd5b0398
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.0		26c49685163fc87f688c0f2bdf2d80776f6c06b7
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.0	metadata	a7ffda46445d50acf3068515be4c6b4fce3bed2f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.1		cc30791a046d5b748b53b3b2e9edc5dce084ae0b
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.1	metadata	bfaf572bc3f56ed993e7e8e55ec5b0352aa23229
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.2		4447cc72bdf08e21edd0c14967237dbc141ce3b1
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.2	metadata	8f5ed5bef743c775a912822c232d6868a7253eaa
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.3		d2339b14399ce67b33bb806895f6d6bdd6296147
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.1.3	metadata	95f9d1ce75a1d90ef8e54b62660c601e12a0c738
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.0		97a4cadf01b869ac54a835d7fca69c93d6f01871
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.0	metadata	bb5206893c5a93afac15fecd7bb5e82dc1d41f70
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.1		0498010af7c9ac9751e0c7b31c6ad256ce38be27
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.1	metadata	5346cb82b3338a97bbc16e25511f073fbfac2f5d
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.2		9b04dbb0e71eb12cbe1f4837254005a884199dc2
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.2	metadata	48d4a87ee2eb09c285cfb0fb77585923ee5a9658
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.3		5a45960bd557fafb5aeeac0195947a717796b4d8
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.3	metadata	859660512d405ff76fe6d7eddad76078b04506ab
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.4		13f4ec1de76bc49ec397e4edfcc7c35ea1e7ab58
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.2.4	metadata	cf0680307a7f141d8aec6db47769401811fd389c
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.0		613b4ab177ceaebcbb0a61603407240191dd52b7
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.0	metadata	d2a77fe89fccb702ae21c5faedf478b3deec4a1f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.1		35d0cf50d7ba9c0d70d41c362c962bfc1f0711e3
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.1	metadata	9f4a4121fd2f793aa8f4d463b6a77b3ad9e69116
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.10		85975b28fceefb82c9d77320f8f00a09f9b4e8ff
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.10	metadata	a0f92f3f8421134fc58eac912e720bfae43c953e
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.11		816dcf1f04f6211e643e9d330b9638a1e69498fb
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.11	metadata	230eaa23e03ff6a01fafe8acb5454fa96f4c5b7a
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.12		dfcecd03b08e74e7f19dc44f830c7f9a73cd90f8
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.12	metadata	0ff60be1a3b30ece4cef9e91042dea264d3de1da
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.13		257f2a0d786aea55c608c5c78ad4305813ee3761
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.13	metadata	822c60ee31be6c59345c3e6680e55fd6db97898f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.2		c2e26e49a05b8aaa05d19d00fadcba94a8446f4f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.2	metadata	50315a5d36e54fa1eac7d77b403ff343df3df978
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.3		c1699da3589b0266a8938c43e4dc275ef78ace26
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.3	metadata	82db13bab1f5d6e3ae6a8c79d32988fbde8cb543
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.4		8d0f25dccef8b0c768a490392c3622e24ed8f455
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.4	metadata	1f1b6c08cbda3cdb71dd79b121978dfcd5b0ce80
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.5		e18d05ad1ee2dffb74a9ba89f567c453e4d10086
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.5	metadata	7c5b5dfbd77b10008529cc93c1fe28a7f6a32a27
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.6		0129c41bdbfb35616ac22aeca222f2f8c2c4599b
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.6	metadata	222ee1ea5b3eccecefbe40292be44f02c6cbe07a
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.7		8034d53e4a76142eee57f217dcd5ded4788aa8d6
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.7	metadata	7669c94f730bff419b1c6d0ab0f54a3b853aa3c2
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.8		bfacb2e0cdc62782b1917409afb3fbcc2fc7c548
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.8	metadata	03ade7515ddf5441940c8261f0b5faf500fac88c
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.9		2c28106b94d061ed01ccf485685497583066ae1c
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	2.3.9	metadata	822e73d3a6ca1e62ac38eba64df5939c9968b7b2
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0		007246315ada89a079e8f805a372dbfcd30a3e19
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0	metadata	14345b2f80ab5cf793e78668fc3e330347bf7633
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-beta-1		a1984584d502a9611d068ad9cd461e4b5107bcd0
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-beta-1	metadata	0d5fad119e374620c43f65f28c4a627b41ca1a8f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-beta-2		7351373697134104d796ee4da2b2d0fd926ccbf6
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-beta-2	metadata	ddc92eef7d3f3d7dc41d51c9a0a34dbde8c3897f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-rc-1		9a5820a7f02517247369dd7af5232061057e496b
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-rc-1	metadata	63759915452f9d29f377c81eb619dc57cf12d59f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-rc-2		9fd2e2c70c543aefd1d9eddf28899bcf52db138d
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.0-rc-2	metadata	45caccac46febede53ae83e8dcd7133f507780a7
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.1		3697b6fc6c8a3d132c0bedd0cde69ae2827f57fb
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.1	metadata	57d2652d2b43c38089bbd6951f0ce826a480e37f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.2		1e59b8e22acc6762427469726ae42d9f5f9da35c
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.2	metadata	ab2e3d9cf1407610b424f7706959a9de049073c7
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.3		74da3ed92ca294dc409d9adb358b36a206d532dd
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.0.3	metadata	e7b6f4232d595fc204ed2125a3df04a0e12deec4
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.1.0		e8b185a9aac898f523ba86aeafb2e036094a081f
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.1.0	metadata	1b5192579f0cf635a2d4289e49e1c65cbbb605b2
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.1.1		e25e8125fce8c1e00b6d0dbf387882d6278cd36d
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.1.1	metadata	9388d1cb7f22cd44a2171d18e878835904715ce0
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.1.2		6b73f35e9f032b8484d64ee18176009dcdf4ca8d
io.ktor	ktor-serialization-kotlinx-cbor-iossimulatorarm64	3.1.2	metadata	344254a14cb2de044020366d2e3a7b8061fc9593
io.leopard.boot	leopard-boot-logdb	0.9.20		dd1299f758a6cccdcc0febf7e8533d9299eabeeb
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.1.0		a6bcd3fa4abc4b642b28b6e8f37f52c63cb5dbd8
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.1.1		727a0ae8e5af49fa450f4d5ef43da6561117b234
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.2.0		e4da91ef6929a0db79a2d33949836a2c20cc9fd1
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.2.1		560564d828aed18e207f6461dd5e3fc56fbcede1
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.2.2		da4fee58ca5f3456546c5267a7cd4c3e9eeda954
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.3.0.CR3		d35a7e8a8b082a6a555498f7493da0582a7a9391
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.4.0.CR1		7cad046d6ac04ae39943ca47c5f219afe148b801
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.4.0.Final		4acf4e99de777cd1e730602e0a9e526caf94bc23
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.4.1.Final		7df62f96d7dd1a95a42b05fb230bff9d5cc43667
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.4.2.Final		281af3f7cc4f876896536e2f1a6d8e7e64cfc468
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.5.0.Final		a278f679fad9b605002bf73c288d5308da5fd05a
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.5.1.Final		6c64013bfb7b5939a82ef30120531b62355ab30d
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.5.2		7bf4fe66708b955a7ee677d4470b165b4c832517
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	0.5.3		46d8038be480c4f386c91166bd34d77ac7193e34
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	3.0.0		9932ec44d24ecd14c03cc7c55e10b57755c9d8f4
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	3.0.1		b8ba1fb2a05ca9b76f395a87de3b588c754f93c5
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	3.1.0		4e98eb1b0ad41a0fa7dbe20fc7a614ba8abe464d
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	3.2.0		d33f59cb5cc858c4dc4e99c5b2d2500cdcd9203a
io.quarkiverse.rabbitmqclient	quarkus-rabbitmq-client	3.2.1		5e221305273dca10cf843e1ff5de43482d26876a
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.30		895329504dbd43feca884b2c4110fce7e6b50b70
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.31		9ca3cdb9242bf2c294b34066d1548e1d358f73a9
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.32		c36a20074dd8b2f7590dbd3748c321357dec1e30
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.33		32f608e17514947b6130444436f9858de523e8be
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.34		04a356a116a0c204fc8d64ccbca8cdcb27e785a6
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.35		e6a562fd71b5daa2245cf191fa11aa1ad06a2917
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.36		270465a6d936cfe9b147fedd43707a0d1a41eddf
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.37		8e457c76077d7bd2abe676d3c08b5dad99e4f471
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.38		2d3b8b8b97ba3232670b818059bd0dc335f877b6
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.39		f05ec9d4a6141c9dd41e9a8ff915215242982ecf
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.40		2ce8a6ab7dfed24652b5f89ae998c2279cd6f9c3
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.41		a0fa78658e76e0a505f540688e468ddf7407bad2
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.42		e6459c23eef5ff3b5ff3d2bb8e727e79f3a37c86
io.spring.javaformat	spring-javaformat-formatter-tests	0.0.43		7dc70ed32283da648b9d828fb94320b48b991bdf
io.streamnative.tests	latest-version-image	2.10.0-rc-202110192205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110202205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110212205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110222206		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110232205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110242205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110252206		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110262205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110272205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110282205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110292205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110302205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202110312205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111012205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111022205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111042205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111052205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111062205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111072205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111082207		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111092206		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111102205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111112205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111122205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111132206		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111142205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111152210		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111162205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111172205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111182205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111192205		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-202111202206		N/A
io.streamnative.tests	latest-version-image	2.10.0-rc-20211121082026		N/A
