com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.6		8ad1daf18e8d03449c4218c43f0e59da171c312b
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.7		133928b5cddedd0367f9ec3004c894fde45c3234
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.8		9d33e37e68483a52b42efe3a4f108627517110e1
com.liferay	com.liferay.portal.remote.json.web.service.extender	2.0.9		b5730296616a80f7aa76f6281200a313849d3b3c
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.0		d7b0096eb5b9a337407e4c4466df1467e61ffdc4
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.1		06b5a7de9fdae64beae5b41f943758dfad005171
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.2		e24cf2ce72ad0e094bd33fb2b5062d0eb2af1022
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.3		9bd79572caf5ec4b30812a07112dede70861e14f
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.4		961eeec7ea0b966459d9f11acce0c03117979ffb
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.5		e03c7fe0fa305153d8e8267969f0eadd1e403994
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.6		07bde6891c7c9b1f094626d1a986971178fe4d2a
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.7		cda12da24eb7e032ba277bc1448ca89427442615
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.8		7dd13378d5c451c73a46f1f10e555fac12cd8238
com.liferay	com.liferay.portal.remote.json.web.service.extender	3.0.9		f1b63c570498aa2d67654812b6b7229ac1a17820
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.0		3aca5ebfe06b512167d3e4c4d3d4b16bdcc0f1d6
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.1		5330b40b304436237090bc255a85bb255c59257a
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.2		797676538236738ed864aadf8a70195f741f3531
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.3		8716ee2e3452505270d166b73304a866c880483d
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.4		63e5650b5abd79d66f865556ed78a85dbe81b8fe
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.5		8d01f0c8bd225e092d2781371b8d7a964d2b0ea3
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.6		bc90d0d0ac661a3fb1cae0a3b1d3163878c6bdee
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.7		60134649d9fab490bf945c0442895bff707bfe85
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.8		9312e532442d47323eca866b7d66acfca4d91159
com.liferay	com.liferay.portal.remote.json.web.service.extender	4.0.9		f67a9fc6d99c21d2bf33a15b937f5f5bb8a67f73
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.0		f34690fd91dfd227337332fbf2b6e3ff4de3cbb3
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.1		e98b01925f9fc683b5007daf14613184fbc40ffc
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.10		f9a198fbfff6d10f5ec550ff80d8d831af625e7d
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.11		6a11b5964e3eb9a9fd1094cc24ee79046d25c638
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.12		ac3e80867def0cb3e68250e210da11aa9c3c787e
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.13		d16a1c526100e02f3a610fa221c5feafd4b3899c
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.2		2fc3176f079e4c66f3e54f168d689f6ffbe552cf
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.3		e8be447e3910e28b1ed466b7a7183e19a791aa58
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.4		09ec59bfe61baad3842a888c9fc740af80548151
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.5		218e01299a7741769e08d078dfaac2f42f0ee977
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.6		121b493b7f49b0aab082995342fa834f19218d8a
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.7		faf9dc1e328311894cf41c507bc662166cd3b405
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.8		4e2a7e91e31b453b53bb06d7c20d70811f67e28b
com.liferay	com.liferay.portal.remote.json.web.service.extender	5.0.9		ae3746abd9d866e8bb4678ea17c1f48517bd0afb
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.0		0914770fd7788b0f30f8e5446795f60226bde4e0
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.1		023dc9b5adb7a3a87a5e21d1b0075398a4a0eca3
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.10		203cfc00ddf7b38661836bc463c111e77699e756
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.11		c4e1902cb41a43cedba041869e844860b7eb7e05
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.12		2b5664ebda9f57589f32cc53aab026baa73e7634
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.13		682a2be6d70ec81a30c0b168642689a7ea65cd5b
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.14		40a1468d5c2fe5c0355717cf3e8480e06eb792d8
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.15		5025ceb5fedfa176826364ee0dfba84b7d72a8f1
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.2		2727334f9957d3e90b9b843b936dd73d4c4fbb64
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.3		cc8151e1b1b2dd8992e76ad4ea4d2fb6258b2236
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.4		4d671f63b60a2f9de27af66b1b068a1d30164b6c
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.5		7a58bd8df3b66974f39ffbc7f40314fa0ca76a50
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.6		e4473adf8feb88c861ab1c39039f05979f8825e2
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.7		6dcc0714c924ee718c5765308a96ca108207db2c
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.8		12ef9f70ebe0344ae600f66043c302dbc2f31646
com.liferay	com.liferay.portal.remote.json.web.service.extender	6.0.9		0d2fcd26286ee9840b8d992ab1646b9a113b4253
com.liferay	com.liferay.web.proxy.web	1.0.0		4afed428226ed1bb04e4a1ef0480a4e3222b0488
com.liferay	com.liferay.web.proxy.web	1.0.1		c54febf310ce24ac7f7b47701cbc2dcf71f137cb
com.liferay	com.liferay.web.proxy.web	1.0.10		edf4ec62144cf08f17a14b1f39748f689b677663
com.liferay	com.liferay.web.proxy.web	1.0.10	jspc	e05dbd15cd08874e2593907e0fcb4cbd16721137
com.liferay	com.liferay.web.proxy.web	1.0.11		ea1ae089f90113c424b99aae7558b73932921880
com.liferay	com.liferay.web.proxy.web	1.0.11	jspc	a62e566095ccadeb64015dec7e005681e11f1c89
com.liferay	com.liferay.web.proxy.web	1.0.12		3132b9289a22f43547b393e20f2adeef90f93e97
com.liferay	com.liferay.web.proxy.web	1.0.12	jspc	a743b0d25126781bf070371e9224cb523b22772c
com.liferay	com.liferay.web.proxy.web	1.0.13		85cb6a00d32deafd549a7ee9da174df190698cf4
com.liferay	com.liferay.web.proxy.web	1.0.13	jspc	b1eac159590006aa414a70fab7e250efd0717b28
com.liferay	com.liferay.web.proxy.web	1.0.14		0b8db014e405590e6073e25ab91a7c5f55274264
com.liferay	com.liferay.web.proxy.web	1.0.14	jspc	f714efc08762b1e5884f86e95c7392c133c3090e
com.liferay	com.liferay.web.proxy.web	1.0.15		7e10e40d3760cba64ee70c922f63fd904f80a142
com.liferay	com.liferay.web.proxy.web	1.0.15	jspc	a45b47e14efa7c8dd51eb70bd4cc6d2c91cd505c
